sample_index,forecast_hour,pv_error_normalized,load_error_normalized,ev_error_normalized,price_error_normalized,epsilon_RL,omega_RL,epsilon_EM,Phi
0,1,0.0,0.08438086509704584,0.06937357038259506,0.04851126670837402,0.08438086509704584,0.9190811434976115,0.08465243803506116,0.844480779062776
0,2,0.07300000265240669,0.036139070987701416,0.11309472553320667,0.03297609090805054,0.08145571090540862,0.9217735334650756,0.11780424234724045,0.8193368763608725
0,3,0.26799999736249447,0.08692525327205658,0.024918418919965546,0.005063652992248646,0.2817445620463831,0.75446637926926,0.02542770503008098,0.7355238834438729
0,4,0.4020000137388706,0.03242370486259463,0.27471613460207533,0.031996965408325195,0.4033054768820637,0.6681079766061865,0.27657324600555117,0.5066784371373558
0,5,0.44200000166893005,0.016576245427131597,0.12145832021929426,0.08562594652175898,0.4423107204079443,0.6425499510512128,0.14860661582930873,0.553819013392425
0,6,0.5450000017881393,0.03356689214706424,0.06994515284282399,0.09725666046142573,0.5460327263062943,0.5792432745777679,0.11979642069074961,0.5138472960842287
0,7,0.6349999848753214,0.01589033007621765,0.1738911203819864,0.12198531627655035,0.6351987747009511,0.5298301610179028,0.21241125001937283,0.4284376647364695
0,8,0.5859999898821115,0.024307057261466924,0.10170712196354903,0.13507011532783508,0.5865038969815521,0.5562686616773591,0.16908067516065492,0.4697359399100709
0,9,0.47200000658631325,0.08018043637275696,0.003557183285916088,0.09939780831336975,0.47876184956030643,0.6195500132331723,0.09946143901246854,0.5608940286315311
0,10,0.3129999889060855,0.0920981764793396,0.03437232127014134,0.09250041842460627,0.326268397436879,0.721611482765564,0.0986802101650835,0.6538033847902457
0,11,0.003999993205070496,0.011803433299064664,0.021163748264319937,0.07128897309303284,0.012462783930008523,0.9876145549423505,0.07436411718869972,0.9168357851470046
0,12,0.0,0.03462433815002436,0.04594120197903988,0.051959335803985596,0.03462433815002436,0.9659682255171165,0.06935680656193938,0.901242290443977
0,13,0.0,0.024035543203353882,0.015386507362411567,0.0663142204284668,0.024035543203353882,0.9762510100530689,0.06807584329149972,0.9120035590075567
0,14,0.0,0.02444995939731595,0.1301029684602815,0.10921192169189453,0.02444995939731595,0.9758465196446078,0.16986472924599005,0.8233987492588422
0,15,0.0,0.0296943336725235,0.17002338027988853,0.08279919624328613,0.0296943336725235,0.9707422114106703,0.189112814849586,0.8034766548736015
0,16,0.0,0.1162909269332886,0.09262860086656449,0.08812350034713734,0.1162909269332886,0.8902161977521699,0.12785072941492837,0.783376656126284
0,17,0.0,0.019262731075286837,0.009471408065308877,0.08344781398773193,0.019262731075286837,0.9809216097951863,0.08398360095917957,0.9019047780768384
0,18,0.0,0.10183674097061152,0.05400515773823362,0.050085574388504084,0.10183674097061152,0.9031769914321003,0.07365542630490893,0.8390439691479622
0,19,0.0,0.010288715362548884,0.04785643760038705,0.03714448213577276,0.010288715362548884,0.9897640324120793,0.060580121929016295,0.9315840732047928
0,20,0.0,0.028970301151275635,0.11571263417518968,0.04236161708831787,0.028970301151275635,0.9714453148456408,0.12322305105011212,0.8588222095217113
0,21,0.0,0.09377959370613098,0.11307289451360703,0.0380500853061676,0.09377959370613098,0.910483416402673,0.11930334641363557,0.8080891114292794
0,22,0.0,0.006787717342376709,0.10425236076116562,0.0459364652633667,0.006787717342376709,0.9932352671774396,0.11392415707464647,0.8862892854252064
0,23,0.0,0.014525651931762695,0.10425236076116562,0.04651167988777155,0.014525651931762695,0.9855793363942295,0.11415730852756979,0.8792526792271727
0,24,0.0,0.03575325012207031,0.10425236076116562,0.1298973262310028,0.03575325012207031,0.9648783477265059,0.16655890875675128,0.8168399043116555
1,1,0.07300000265240669,0.036139070987701416,0.08227678251809034,0.03297609090805054,0.08145571090540862,0.9217735334650756,0.0886391082598711,0.843584824795136
1,2,0.26799999736249447,0.08692525327205658,0.06326217902258036,0.005063652992248646,0.2817445620463831,0.75446637926926,0.06346450879279626,0.7080723007214719
1,3,0.4020000137388706,0.03242370486259463,0.24163465506030013,0.031996965408325195,0.4033054768820637,0.6681079766061865,0.24374394827657114,0.5235883865696643
1,4,0.44200000166893005,0.016576245427131597,0.11679992183030241,0.08562594652175898,0.4423107204079443,0.6425499510512128,0.14482411559305958,0.5559178007709662
1,5,0.5450000017881393,0.03356689214706424,0.10852045730959547,0.09725666046142573,0.5460327263062943,0.5792432745777679,0.14572421781842845,0.5006956016309414
1,6,0.6349999848753214,0.01589033007621765,0.2586176000911615,0.12198531627655035,0.6351987747009511,0.5298301610179028,0.2859431420125371,0.3980642252611739
1,7,0.5859999898821115,0.024307057261466924,0.12496155410327059,0.13507011532783508,0.5865038969815521,0.5562686616773591,0.18400903798069074,0.46277563361999885
1,8,0.47200000658631325,0.08018043637275696,0.004486130654427378,0.09939780831336975,0.47876184956030643,0.6195500132331723,0.09949899329013329,0.5608729650569557
1,9,0.3129999889060855,0.0920981764793396,0.01197495992327241,0.09250041842460627,0.326268397436879,0.721611482765564,0.09327232748190226,0.6573486543538275
1,10,0.003999993205070496,0.011803433299064664,0.035838712525670974,0.07128897309303284,0.012462783930008523,0.9876145549423505,0.07979054455358006,0.9118741165955317
1,11,0.0,0.03462433815002436,0.009839943125715234,0.051959335803985596,0.03462433815002436,0.9659682255171165,0.05288286166527535,0.9162122750679749
1,12,0.0,0.024035543203353882,0.033728800288576416,0.0663142204284668,0.024035543203353882,0.9762510100530689,0.0743989771431164,0.9062550319369913
1,13,0.0,0.02444995939731595,0.0921626189768848,0.10921192169189453,0.02444995939731595,0.9758465196446078,0.14290273676985668,0.8459012126027449
1,14,0.0,0.0296943336725235,0.16655863339457416,0.08279919624328613,0.0296943336725235,0.9707422114106703,0.18600399258296144,0.8059784077265666
1,15,0.0,0.1162909269332886,0.13311378346792893,0.08812350034713734,0.1162909269332886,0.8902161977521699,0.15964031653244298,0.758865105902189
1,16,0.0,0.019262731075286837,0.016646224083466367,0.08344781398773193,0.019262731075286837,0.9809216097951863,0.08509191756899175,0.9009057357606891
1,17,0.0,0.10183674097061152,0.008671377896884595,0.050085574388504084,0.10183674097061152,0.9031769914321003,0.05083067534921167,0.8584151692172862
1,18,0.0,0.010288715362548884,0.03887541252957294,0.03714448213577276,0.010288715362548884,0.9897640324120793,0.05376811557493175,0.9379516933419794
1,19,0.0,0.028970301151275635,0.10467954187355662,0.04236161708831787,0.028970301151275635,0.9714453148456408,0.11292613997297064,0.8677111110203528
1,20,0.0,0.09377959370613098,0.09080794942791123,0.0380500853061676,0.09377959370613098,0.910483416402673,0.09845756787118355,0.8251111606210934
1,21,0.0,0.006787717342376709,0.10425236076116562,0.0459364652633667,0.006787717342376709,0.9932352671774396,0.11392415707464647,0.8862892854252064
1,22,0.0,0.014525651931762695,0.10425236076116562,0.04651167988777155,0.014525651931762695,0.9855793363942295,0.11415730852756979,0.8792526792271727
1,23,0.0,0.03575325012207031,0.10425236076116562,0.1298973262310028,0.03575325012207031,0.9648783477265059,0.16655890875675128,0.8168399043116555
1,24,0.0,0.13962626457214355,0.10934896767139435,0.09597164392471302,0.13962626457214355,0.8696832060936214,0.14549141956971742,0.7519257593745238
2,1,0.26799999736249447,0.08692525327205658,0.0384319098460979,0.005063652992248646,0.2817445620463831,0.75446637926926,0.03876405907595985,0.7257797962452687
2,2,0.4020000137388706,0.03242370486259463,0.34692684758132997,0.031996965408325195,0.4033054768820637,0.6681079766061865,0.3483992585641664,0.4715619787227169
2,3,0.44200000166893005,0.016576245427131597,0.10918372227449213,0.08562594652175898,0.4423107204079443,0.6425499510512128,0.13875477623296634,0.5593021144453004
2,4,0.5450000017881393,0.03356689214706424,0.024750077850756336,0.09725666046142573,0.5460327263062943,0.5792432745777679,0.10035648637595654,0.5239341802910716
2,5,0.6349999848753214,0.01589033007621765,0.21852454007004518,0.12198531627655035,0.6351987747009511,0.5298301610179028,0.25026664180412617,0.41252213398352167
2,6,0.5859999898821115,0.024307057261466924,0.1743028117812705,0.13507011532783508,0.5865038969815521,0.5562686616773591,0.2205116918658321,0.4461876886802732
2,7,0.47200000658631325,0.08018043637275696,0.022011598303662172,0.09939780831336975,0.47876184956030643,0.6195500132331723,0.10180586799091289,0.5595805926472541
2,8,0.3129999889060855,0.0920981764793396,0.029875550628064906,0.09250041842460627,0.326268397436879,0.721611482765564,0.09720532873282878,0.6547683787137009
2,9,0.003999993205070496,0.011803433299064664,0.00017849108813156045,0.07128897309303284,0.012462783930008523,0.9876145549423505,0.07128919654286828,0.9196593212816244
2,10,0.0,0.03462433815002436,0.0313065776630885,0.051959335803985596,0.03462433815002436,0.9659682255171165,0.060661968169243664,0.9091126125182099
2,11,0.0,0.024035543203353882,0.04404152366210522,0.0663142204284668,0.024035543203353882,0.9762510100530689,0.0796067311068295,0.901547746533132
2,12,0.0,0.02444995939731595,0.12232405813106711,0.10921192169189453,0.02444995939731595,0.9758465196446078,0.1639829839870259,0.8282560416235696
2,13,0.0,0.0296943336725235,0.127150872340726,0.08279919624328613,0.0296943336725235,0.9707422114106703,0.15173348752184473,0.8340784459168789
2,14,0.0,0.1162909269332886,0.10633126414113485,0.08812350034713734,0.1162909269332886,0.8902161977521699,0.1381017344108455,0.7753872776522422
2,15,0.0,0.019262731075286837,0.029649378882080718,0.08344781398773193,0.019262731075286837,0.9809216097951863,0.08855858697734671,0.8977880006076135
2,16,0.0,0.10183674097061152,0.01977808878452354,0.050085574388504084,0.10183674097061152,0.9031769914321003,0.05384921130151186,0.8558279189854152
2,17,0.0,0.010288715362548884,0.07570814708957861,0.03714448213577276,0.010288715362548884,0.9897640324120793,0.08432933113023021,0.9097203389918879
2,18,0.0,0.028970301151275635,0.09619035597650404,0.04236161708831787,0.028970301151275635,0.9714453148456408,0.1051051434765389,0.8745240839703932
2,19,0.0,0.09377959370613098,0.08935800584654856,0.0380500853061676,0.09377959370613098,0.910483416402673,0.09712189351880675,0.8262139767738657
2,20,0.0,0.006787717342376709,0.09509072427552415,0.0459364652633667,0.006787717342376709,0.9932352671774396,0.10560494630525719,0.8936932677360314
2,21,0.0,0.014525651931762695,0.10425236076116562,0.04651167988777155,0.014525651931762695,0.9855793363942295,0.11415730852756979,0.8792526792271727
2,22,0.0,0.03575325012207031,0.10425236076116562,0.1298973262310028,0.03575325012207031,0.9648783477265059,0.16655890875675128,0.8168399043116555
2,23,0.0,0.13962626457214355,0.10500631825823126,0.09597164392471302,0.13962626457214355,0.8696832060936214,0.14225639989737143,0.7543621928284769
2,24,0.008999999612569809,0.030594617128372192,0.12828586197503664,0.1191951036453246,0.03189091704949768,0.9686122353971348,0.1751134921006883,0.8130160652697328
3,1,0.4020000137388706,0.03242370486259463,0.3518278885646826,0.031996965408325195,0.4033054768820637,0.6681079766061865,0.35327987342505696,0.4692660735933254
3,2,0.44200000166893005,0.016576245427131597,0.2264215406530682,0.08562594652175898,0.4423107204079443,0.6425499510512128,0.24207130517567782,0.504401840714188
3,3,0.5450000017881393,0.03356689214706424,0.03097768113491839,0.09725666046142573,0.5460327263062943,0.5792432745777679,0.10207092990957674,0.5230366942879991
3,4,0.6349999848753214,0.01589033007621765,0.13625780332553272,0.12198531627655035,0.6351987747009511,0.5298301610179028,0.18288413368630307,0.44127681220035764
3,5,0.5859999898821115,0.024307057261466924,0.14189848059504429,0.13507011532783508,0.5865038969815521,0.5562686616773591,0.19590588263208644,0.4573026837664379
3,6,0.47200000658631325,0.08018043637275696,0.03945502296812631,0.09939780831336975,0.47876184956030643,0.6195500132331723,0.10694214854264324,0.5567137983644704
3,7,0.3129999889060855,0.0920981764793396,0.03243636117804677,0.09250041842460627,0.326268397436879,0.721611482765564,0.09802267561743017,0.6542334244705973
3,8,0.003999993205070496,0.011803433299064664,0.0418936791544858,0.07128897309303284,0.012462783930008523,0.9876145549423505,0.08268735113521389,0.9092364159517683
3,9,0.0,0.03462433815002436,0.0298933622923781,0.051959335803985596,0.03462433815002436,0.9659682255171165,0.05994485537837849,0.9097647826127936
