forecast_hour,feature,MAE,RMSE,R2
1,pv_power_kw,0.03540123885931731,0.09797130809212604,0.7584917031689367
1,load_kw,0.05325104450106256,0.07014976701886162,0.7029774373116903
1,ev_power_kw,3.049206421394652,4.377676072476429,0.7711384189185579
1,price_usd_per_kwh,0.0037366838943224223,0.005382517501057952,0.5064585347601442
2,pv_power_kw,0.03540123885931731,0.09797130809212604,0.7584917031689367
2,load_kw,0.05331533620955076,0.07024655923555373,0.7020425357391553
2,ev_power_kw,3.223483924260654,4.672236456023618,0.7393288954211295
2,price_usd_per_kwh,0.003735834221353759,0.005382240892654133,0.5062930385908907
3,pv_power_kw,0.03534469354355248,0.09795023941308906,0.758617429664606
3,load_kw,0.05340682663335831,0.07035918832367719,0.7012450077550063
3,ev_power_kw,3.1538688274151325,4.606645057259849,0.7466793587493405
3,price_usd_per_kwh,0.0037352111499220166,0.005382106405069986,0.5059701274085
4,pv_power_kw,0.0351371025308782,0.09766583338216227,0.7600284745074342
4,load_kw,0.05353505128691067,0.07063000605410373,0.6989394502355655
4,ev_power_kw,3.2429768029830353,4.6817375986519645,0.7382213352912492
4,price_usd_per_kwh,0.003736206703750729,0.005382269694107276,0.5062493011708067
5,pv_power_kw,0.03482571599816025,0.09702287163242267,0.7632214661138607
5,load_kw,0.053710993442503706,0.07097351638084622,0.6959890783244456
5,ev_power_kw,3.4021792738721865,4.924492551804179,0.7080866055639841
5,price_usd_per_kwh,0.003735965608335956,0.00538220869047765,0.5066780174326708
6,pv_power_kw,0.034483345741251704,0.0962398564300498,0.7670994503334869
6,load_kw,0.05377626978156826,0.07102384865804881,0.6955117583826734
6,ev_power_kw,3.6054685876180708,5.358688959052891,0.651922599974714
6,price_usd_per_kwh,0.0037348472935104004,0.00538151486901247,0.506865186629706
7,pv_power_kw,0.0340611923703856,0.0950370263518367,0.7729526353630596
7,load_kw,0.0537572754167464,0.07102029922110019,0.6954486671589468
7,ev_power_kw,3.6492307795775747,5.270508669464931,0.6622293768826597
