model,feature,MAE,RMSE,R2,NMAE_percent,NRMSE_percent
Transformer_raw,pv_power_kw,0.076603578920202,0.11034376200836976,0.6936205477163241,60.664222852731555,87.3838881060319
Transformer_raw,load_kw,0.06661248813882728,0.086021068550273,0.5525679823821148,14.920690472231895,19.268064799716413
Transformer_raw,ev_power_kw,3.846683179563261,5.320131454181825,0.6567424984543258,47.77621383719667,66.07659797598544
Transformer_raw,price_usd_per_kwh,0.0040723506806467835,0.005307522343002444,0.5159267328633487,15.828626238518265,20.62955624603222
Transformer_clipped,pv_power_kw,0.05079175329798068,0.0999277815671567,0.7487323636124474,40.22321521504099,79.1352218214753
Transformer_clipped,load_kw,0.06661248813882728,0.086021068550273,0.5525679823821148,14.920690472231895,19.268064799716413
Transformer_clipped,ev_power_kw,3.580213746294537,5.19023264596052,0.6733001309165583,44.46663516106339,64.46324097488124
Transformer_clipped,price_usd_per_kwh,0.0040723506806467835,0.005307522343002444,0.5159267328633487,15.828626238518265,20.62955624603222
Persistence,pv_power_kw,0.1832327649561559,0.276962538974728,-0.930216954686875,145.1064486008105,219.3333186654844
Persistence,load_kw,0.136235063309234,0.1768359377748934,-0.8908559827694655,30.515617535042328,39.60990447327397
Persistence,ev_power_kw,8.54571977636831,12.198292617489837,-0.8045686353721233,106.13874768727064,151.50409049493382
Persistence,price_usd_per_kwh,0.005225776736065136,0.007184140297964401,0.11309511427555607,20.31182313306613,27.92369335037108
Daily_seasonal,pv_power_kw,0.03363381051027985,0.09305753006242867,0.7820950454517785,26.635426241737548,73.69450385226273
Daily_seasonal,load_kw,0.053781466657038424,0.07096810396125336,0.6954603830259116,12.04663929472096,15.896315273499368
Daily_seasonal,ev_power_kw,4.219310144557128,6.199734801925642,0.5338544574551736,52.404280337613244,77.00136502126466
Daily_seasonal,price_usd_per_kwh,0.0037287715694352777,0.00537700638930778,0.5031691643421367,14.493184926802574,20.899630481960347
