forecast_hour,feature,MAE,RMSE,R2,NMAE_percent,NRMSE_percent,MAPE_percent,sMAPE_percent
1,pv_power_kw,0.0794950739122021,0.10055480150758447,0.7455866667986071,62.991033033468945,79.6785324136408,136.96711296281916,136.25389357363596
1,load_kw,0.06315957516501063,0.08093879417597392,0.6045874615294602,14.167896359970921,18.15611400789611,13.830703022941362,15.191041284742319
1,ev_power_kw,3.501354850412064,4.624744629876483,0.7445763315902612,42.97741716637091,56.766476903288975,382.29374108341074,89.98514736101674
1,price_usd_per_kwh,0.002854101413227531,0.0037592751145674955,0.7592529428945625,11.02902657632572,14.52686472671583,11.216171138422096,11.314642676322462
2,pv_power_kw,0.08789703299635537,0.10882866352021495,0.7019968646264612,69.64865414342952,86.23465079561228,170.58077774658952,141.64949789149958
2,load_kw,0.06583766848148993,0.08509047872239739,0.562814155250016,14.769660213609653,19.08872970640698,14.466161068803249,15.368567084323455
2,ev_power_kw,3.584708844447699,4.855648873120008,0.7184615024630812,44.00445259080543,59.606004254922304,299.39216048063844,88.45006029730602
2,price_usd_per_kwh,0.0031247214665946622,0.004255851250992376,0.6913147407825408,12.083896135725922,16.458191565514735,11.937752140508309,11.739215032867266
3,pv_power_kw,0.07458122822114842,0.10301315704712419,0.7330190351476187,59.10461052341177,81.63652800143673,157.73834644519718,137.68801378769828
3,load_kw,0.06485598465668703,0.08386595327011094,0.5755320468329763,14.546622970561044,18.810390571430624,14.397826275853905,15.107092846665251
3,ev_power_kw,3.5465391787983864,4.84670756400484,0.7195892330050346,43.567055253813336,59.53882520243764,423.64171721507125,87.56858116099988
3,price_usd_per_kwh,0.003155758960777064,0.004316527186507583,0.6822265311500348,12.213670748415064,16.706168781535926,12.074258166314593,11.836246428952077
4,pv_power_kw,0.07357046600737076,0.10192311728454694,0.7386516348695994,58.307174408767835,80.77764486635147,159.84718595293393,137.6270377419428
4,load_kw,0.06662746015027177,0.08606869435665532,0.5529400193935333,14.941389235443006,19.301138906822317,14.837009472443563,15.788691094080157
4,ev_power_kw,3.577448746810958,4.8635865152242825,0.7174902910935395,44.01245516137349,59.83548572585068,339.04290435624756,84.5564094385177
4,price_usd_per_kwh,0.003488754463330846,0.004766053892181202,0.6128362101491166,13.511205919763732,18.457915636880667,13.758965618014528,12.87003092383244
5,pv_power_kw,0.07033671217297488,0.10222051662763063,0.7371728527219898,55.76005719838262,81.03622813627787,180.47090031871434,136.26330286800768
5,load_kw,0.0741814173625293,0.09454278119746781,0.4605474009093872,16.629914701753464,21.194504538741853,16.248570909942732,17.669598339319595
5,ev_power_kw,3.6305475057824856,5.01965017237293,0.6966961437553867,44.81859876426591,61.96687597510788,386.0058923928121,81.85312124275093
5,price_usd_per_kwh,0.003497381421205704,0.004644207422684318,0.6326900939573912,13.55300735397574,17.99717267650207,13.930083631939038,13.194609907605487
6,pv_power_kw,0.07822817033135111,0.10815785949119396,0.7058446523902535,62.06829738492049,85.81530360458228,185.10832892740154,136.1253596952592
6,load_kw,0.06982824648423863,0.09053804414177698,0.5052060962893571,15.649023467938811,20.29024139730832,15.121302810975415,16.435721913118304
6,ev_power_kw,3.8772013992198118,5.465405807879538,0.6379208381690984,48.01971206182065,67.68985826946944,359.8872775319328,86.30218967213803
6,price_usd_per_kwh,0.0035987027129410864,0.004780118178371096,0.6109245180928552,13.953630096125952,18.534457052232096,14.713375324938182,13.503160409656672
7,pv_power_kw,0.08250669692011765,0.11264074568071324,0.6810505769216959,65.50445908593865,89.42875417732064,204.9975454876171,138.43051720868863
7,load_kw,0.06722355063205353,0.08711764052627725,0.5417444643474028,15.060835205212877,19.517928093605015,14.544160797881723,15.669870821420966
7,ev_power_kw,3.7634778292496174,5.320326652365912,0.6558138567805847,46.724381933279005,66.05299294788554,330.79573714917,79.49019989388864
7,price_usd_per_kwh,0.0036188906352998765,0.004753625307615034,0.6151042955748804,14.038518385859225,18.440418074394096,14.654789412075306,13.704582644039814
8,pv_power_kw,0.07278695981516731,0.10747382812671259,0.7096653930875443,57.79443093327726,85.33655963344516,206.15635234232764,137.93317056761717
8,load_kw,0.06263577021618022,0.08099188909966239,0.6037025744226946,14.029580484746356,18.141107274862524,13.637700280437715,14.31083252054134
8,ev_power_kw,3.6925736308333375,5.064332235048786,0.6880499029324616,45.92079902236154,62.979971694067146,408.23874398518427,81.92256993691615
8,price_usd_per_kwh,0.0035587604757106924,0.004730878819052242,0.618548796543527,13.810631487112552,18.359320450491655,14.484796904228627,13.51136468267308
9,pv_power_kw,0.07482144753877897,0.11347693915294778,0.6763225719247044,59.40912769946873,90.10205216342885,221.3115581974065,139.45513332673798
9,load_kw,0.05795008442736152,0.0757686913617596,0.6530900567358473,12.9792450435905,16.97012906079785,12.72690433723818,13.290500218518508
9,ev_power_kw,3.747462851209887,5.254224046591542,0.6640555899104941,46.63471766780003,65.38537263873168,357.44371414444936,77.49659629828372
9,price_usd_per_kwh,0.003815527405881263,0.004958776403695402,0.5805858805050528,14.813071562726762,19.251521983114987,15.4768037338547,14.339868760785274
10,pv_power_kw,0.07550059176626522,0.11388810291113871,0.6738867641698625,59.909687399084014,90.37016113732828,205.80863795402004,139.0956362432757
10,load_kw,0.06769774513684161,0.08660131027652199,0.5467784689849711,15.162272744077965,19.396106676122727,14.948106880229052,16.34574578739429
10,ev_power_kw,4.1715863455141236,5.818317863547554,0.5878169473704573,51.95352527170141,72.4621520749932,421.5371990822793,82.53006399205844
10,price_usd_per_kwh,0.004168582912808606,0.005393349341056584,0.5037496700050338,16.18836538127785,20.94464991775175,17.40503572321145,15.701868661341258
11,pv_power_kw,0.08462770196798926,0.12317240576577689,0.6184460260796032,67.09060302068956,97.64782436678723,201.41182753836136,138.48977524771743
11,load_kw,0.06635440043429826,0.08573930111298772,0.5558520065050527,14.862037315412937,19.20386114859672,14.418988390404744,15.51942006364306
11,ev_power_kw,3.97443928001857,5.469289789470034,0.6357146523732977,49.51940053990972,68.14444319610783,428.84478293616405,90.17450431716001
11,price_usd_per_kwh,0.004138566201551306,0.005394372058793005,0.5034273158933711,16.076030104312622,20.954138072870002,16.990628827323945,15.419981669762677
12,pv_power_kw,0.08736478877675848,0.1251252835762956,0.6062511643089445,69.26049302419882,99.1960142252686,216.66948838343276,138.96564911717022
12,load_kw,0.0633313637616374,0.08168613903472197,0.5968989739798906,14.185198277680685,18.29637023303167,13.81808432897057,14.729351473564487
12,ev_power_kw,4.249000649463814,5.8076222525910355,0.5892632431263174,52.96293373724229,72.3908367897585,438.71358204313236,95.72965033000675
12,price_usd_per_kwh,0.004347777196821503,0.005593275860598171,0.4657686670001555,16.894892434981905,21.734737026789396,18.074955163160638,16.32296636855651
13,pv_power_kw,0.07765964287211274,0.11246869015286479,0.6817803030615537,61.52004312929802,89.09490712304718,188.47241319893462,138.1437843416575
13,load_kw,0.06566975928848792,0.08513512673520515,0.5620406512748785,14.708523800725409,19.068320813565933,14.251421281508167,15.320046629508097
13,ev_power_kw,4.109030435374872,5.691860942993987,0.6055133722916058,51.23090826872249,70.96545290549697,449.3275378893532,87.53118551677161
13,price_usd_per_kwh,0.0043199962534524045,0.005642392550978682,0.4535492623519155,16.799317310902634,21.941765060748004,17.6396170686561,16.026081051629067
14,pv_power_kw,0.09166596767418289,0.1296354518507442,0.5770938612267974,72.55184439344006,102.60395836302749,249.62959332662194,139.5758848534368
14,load_kw,0.06766738012536933,0.08780412348812149,0.5339692847911681,15.155128091911807,19.665054801813348,14.41442422915846,15.644826951586072
14,ev_power_kw,3.967619959305031,5.47855674574253,0.6345399345418907,49.4738925618917,68.31438762107885,446.7032411999747,91.04137588894113
14,price_usd_per_kwh,0.004398188243550122,0.005705433516066128,0.43926604139691905,17.114921111674732,22.201879303046248,18.285740283571688,16.399318949383723
15,pv_power_kw,0.08565506421745193,0.11924207565644669,0.6420982860465613,67.76524865098659,94.33731654213734,205.4488864253675,138.27808120881716
15,load_kw,0.06387857049357328,0.08233623142515842,0.590232301822555,14.30671094868182,18.44062342819689,14.119294370876448,14.48409846387602
15,ev_power_kw,4.133172152879901,5.6977054245147105,0.6047218710673692,51.537267655113716,71.045714676705,568.2854091037758,92.30798748549547
15,price_usd_per_kwh,0.004702922569242999,0.006034047280925813,0.3704153374125547,18.313597299143282,23.49711490245802,19.539210240352052,17.477177945009057
16,pv_power_kw,0.08320492025288752,0.11542170777716547,0.664623195487953,65.81554573282686,91.29920037998454,225.56883940043912,138.37402731571459
16,load_kw,0.06787428080943275,0.08833501866394394,0.5280440591922595,15.198113262630402,19.77959254523128,14.493107612835313,15.410600625865223
16,ev_power_kw,3.993672510678465,5.4636390745220895,0.6365076214863592,49.80265223774705,68.13370802273504,417.3264621455355,87.25884549868638
16,price_usd_per_kwh,0.004660857553535382,0.005901983466097979,0.39615970604223394,18.160759101172104,22.996733694554543,19.62865073837965,17.542205901626637
17,pv_power_kw,0.07840748971846102,0.11392505084842354,0.6731627933856221,61.975564266295166,90.04967938330782,206.96909325279745,137.49375290445732
17,load_kw,0.07297705247778934,0.09377079720106633,0.46799902806307503,16.337764029701106,20.992971153695834,15.60936627594845,16.84419372060813
17,ev_power_kw,4.13677877183148,5.462539732046335,0.6367215447436659,51.56646263417427,68.0925586106577,676.7321584305695,93.58958864709514
17,price_usd_per_kwh,0.004527194483896773,0.00572393698806703,0.4311310787397108,17.647491082607388,22.312522095885896,19.018522154665256,17.249443505569662
18,pv_power_kw,0.06717682795889104,0.10096266631748436,0.743306630689528,53.098522007545576,79.80383299253243,187.67329925467195,136.982121637905
18,load_kw,0.0745376462072111,0.09569574392987631,0.44552450223074247,16.68389521947427,21.419750232483693,16.03859371834204,17.45314778133918
18,ev_power_kw,3.78739106724411,5.254025007544829,0.663807086883287,47.187382917704554,65.46028268229898,439.3115848427082,83.90478790502799
18,price_usd_per_kwh,0.004787134051346021,0.0060231865486764,0.36992099695682235,18.661951418707194,23.480523743763626,20.488841855177256,18.194548691275486
19,pv_power_kw,0.06735208445307268,0.10115972452798813,0.742303628250244,53.23704984662372,79.95959354338198,186.47202862053712,137.21291141563336
19,load_kw,0.07449629972093702,0.09575568109386833,0.44462332060738696,16.670619861543535,21.427997968742485,15.886399074882704,17.486391067477207
19,ev_power_kw,3.8946186459235888,5.360504763109395,0.6499754361524435,48.516822949479774,66.7779529027408,456.73059258287697,80.54916735077732
19,price_usd_per_kwh,0.0045492916622600936,0.005713482178250332,0.4330297265045313,17.735428674363003,22.27402927256186,19.094569186309137,17.119451697546385
20,pv_power_kw,0.06918979498199213,0.10481802781130464,0.7233281360641559,54.68962979015784,82.85122304274341,183.10935726463163,136.86340110590416
20,load_kw,0.06834851081845929,0.0863257776868386,0.5487178516774824,15.292588986278691,19.314899787533506,15.058935266237288,16.141993045417838
20,ev_power_kw,3.7340187095848685,5.269852075729852,0.6617434106426658,46.52016310493791,65.65429826919733,448.00193510368587,79.08041557995243
20,price_usd_per_kwh,0.004631429081775485,0.005823987212209366,0.410886475456278,18.055581817300595,22.704758241196394,19.410070328203673,17.426420883334576
21,pv_power_kw,0.0773111443452993,0.11477732284666242,0.6682543710942679,61.10898094145699,90.72334000155843,200.58412615997483,137.87952030041296
21,load_kw,0.06901101133188105,0.08890334577405062,0.5212718713485747,15.442314165764357,19.89354118038032,15.09459767578708,16.331276414990313
21,ev_power_kw,3.857249581805083,5.363828499436113,0.6495856812474887,48.058856145744,66.82986329451064,465.16492480593456,81.03041320125759
21,price_usd_per_kwh,0.004364133248355248,0.005575074329145329,0.4601927283383891,17.014380895213346,21.73545873993515,18.042088634121516,16.458933120702067
22,pv_power_kw,0.0695134447303209,0.10566867185780948,0.7188192884953182,54.94545198073355,83.52359688051327,181.7734603268581,137.86229786846323
22,load_kw,0.05988218036850324,0.07675159619396077,0.6427529141778814,13.402929016877824,17.178669670832473,13.374062997234478,14.122564700220734
22,ev_power_kw,3.9277981326321614,5.433843336299165,0.6403537233443262,48.93103643436932,67.69278289995292,386.41902646598777,86.43403791547483
