feature,daily_MAE,weekly_MAE,weekly_improvement_vs_daily_percent,best_method,best_MAE,best_RMSE,best_R2
pv_power_kw,0.03363381051027985,0.045244610324401476,-34.52121433155156,Daily_seasonal,0.03363381051027985,0.09305753006242867,0.7820950454517785
load_kw,0.053781466657038424,0.059361323884096207,-10.375055895444872,Daily_seasonal,0.053781466657038424,0.07096810396125336,0.6954603830259116
ev_power_kw,4.219310144557128,4.050991356259292,3.9892490130161633,Weekly_seasonal,4.050991356259292,6.349945119890108,0.5109927993732511
price_usd_per_kwh,0.0037287715694352777,0.00555399046009605,-48.949603285491726,Daily_seasonal,0.0037287715694352777,0.00537700638930778,0.5031691643421367
