forecast_hour,feature,daily_MAE,weekly_MAE,best_method
1,pv_power_kw,0.03540123885931731,0.04609527521262466,Daily_seasonal
1,load_kw,0.05325104453896938,0.059246044522047306,Daily_seasonal
1,ev_power_kw,4.213294084716472,4.053291965095022,Weekly_seasonal
1,price_usd_per_kwh,0.0037366839629663674,0.005582463250562368,Daily_seasonal
2,pv_power_kw,0.03540123885931731,0.04609527521262466,Daily_seasonal
2,load_kw,0.053315336291987175,0.05921238765308247,Daily_seasonal
2,ev_power_kw,4.214022080768904,4.0538484270166135,Weekly_seasonal
2,price_usd_per_kwh,0.003735834289108211,0.0055783946938992475,Daily_seasonal
3,pv_power_kw,0.03534469354355248,0.04603872989685982,Daily_seasonal
3,load_kw,0.05340682672178829,0.05926680765345211,Daily_seasonal
3,ev_power_kw,4.214939349131154,4.052537331272109,Weekly_seasonal
3,price_usd_per_kwh,0.0037352112161640107,0.005572317823665458,Daily_seasonal
4,pv_power_kw,0.0351371025308782,0.045801704323841196,Daily_seasonal
4,load_kw,0.053535051389249765,0.05940127178139837,Daily_seasonal
4,ev_power_kw,4.214631290505125,4.052472353861585,Weekly_seasonal
4,price_usd_per_kwh,0.0037362067680981855,0.005569865616069011,Daily_seasonal
5,pv_power_kw,0.03482571599816025,0.04545391191123162,Daily_seasonal
5,load_kw,0.05371099352571611,0.05948431322674047,Daily_seasonal
5,ev_power_kw,4.215013393055127,4.048851335947264,Weekly_seasonal
5,price_usd_per_kwh,0.003735965671762105,0.005570275876409612,Daily_seasonal
6,pv_power_kw,0.034483345741251704,0.045097598969059155,Daily_seasonal
6,load_kw,0.05377626987609452,0.05956305237118706,Daily_seasonal
6,ev_power_kw,4.214319227270882,4.0413881157034295,Weekly_seasonal
6,price_usd_per_kwh,0.003734847357673463,0.005569561124122512,Daily_seasonal
7,pv_power_kw,0.0340611923703856,0.04472037203361783,Daily_seasonal
7,load_kw,0.05375727551677163,0.059631772264701066,Daily_seasonal
7,ev_power_kw,4.215590591916775,4.036248832842777,Weekly_seasonal
7,price_usd_per_kwh,0.003733765602440396,0.005568536727013405,Daily_seasonal
8,pv_power_kw,0.033569325612155296,0.044351665600326336,Daily_seasonal
8,load_kw,0.05378519454448291,0.05967214375773843,Daily_seasonal
8,ev_power_kw,4.212718611309171,4.037329775292476,Weekly_seasonal
8,price_usd_per_kwh,0.003731931036643361,0.005567038744491372,Daily_seasonal
9,pv_power_kw,0.03320526674687054,0.04415027133104738,Daily_seasonal
9,load_kw,0.05377562998477609,0.059669230612075366,Daily_seasonal
9,ev_power_kw,4.216677197533553,4.039079748919381,Weekly_seasonal
9,price_usd_per_kwh,0.003728935942621401,0.0055641661436260925,Daily_seasonal
10,pv_power_kw,0.03297831090333086,0.04414175078994216,Daily_seasonal
10,load_kw,0.05373616781592808,0.059590003166063256,Daily_seasonal
10,ev_power_kw,4.220048621858619,4.036452903016385,Weekly_seasonal
10,price_usd_per_kwh,0.0037276244744488714,0.005562307069685361,Daily_seasonal
11,pv_power_kw,0.03294887635813583,0.044125484323560456,Daily_seasonal
11,load_kw,0.05370142901144947,0.05954399064043298,Daily_seasonal
11,ev_power_kw,4.220262987138414,4.037237486526458,Weekly_seasonal
11,price_usd_per_kwh,0.0037268801109265936,0.005562449889687231,Daily_seasonal
12,pv_power_kw,0.03295584770076779,0.04444306759534535,Daily_seasonal
12,load_kw,0.05372727685170511,0.059492488584271176,Daily_seasonal
12,ev_power_kw,4.220146990295606,4.037479581121124,Weekly_seasonal
12,price_usd_per_kwh,0.0037264248303725176,0.005560797223505067,Daily_seasonal
13,pv_power_kw,0.03295817147972139,0.04478853622611575,Daily_seasonal
13,load_kw,0.05375219855120327,0.059424366456390314,Daily_seasonal
13,ev_power_kw,4.219552962171875,4.0375976992459135,Weekly_seasonal
13,price_usd_per_kwh,0.00372660225342852,0.005553880578291421,Daily_seasonal
14,pv_power_kw,0.033005421665243916,0.045086754654050105,Daily_seasonal
14,load_kw,0.05379976028885818,0.059369812347346354,Daily_seasonal
14,ev_power_kw,4.218104217105622,4.040276859065319,Weekly_seasonal
14,price_usd_per_kwh,0.0037255501086389782,0.005550482208183326,Daily_seasonal
15,pv_power_kw,0.033005421665243916,0.04536483365476801,Daily_seasonal
15,load_kw,0.05385485742576133,0.05936931557851353,Daily_seasonal
15,ev_power_kw,4.219546622934263,4.0461964800854116,Weekly_seasonal
15,price_usd_per_kwh,0.0037228140117163792,0.005546437758719273,Daily_seasonal
16,pv_power_kw,0.03303175783729849,0.045560805759689176,Daily_seasonal
16,load_kw,0.05390174559658906,0.0594027493433985,Daily_seasonal
16,ev_power_kw,4.22203390395333,4.054682731479348,Weekly_seasonal
16,price_usd_per_kwh,0.0037211201625840535,0.005541452503884101,Daily_seasonal
17,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
17,load_kw,0.05387901294955531,0.05942381913956511,Daily_seasonal
17,ev_power_kw,4.223996510670743,4.062516656209259,Weekly_seasonal
17,price_usd_per_kwh,0.0037204907167593185,0.005534432749327819,Daily_seasonal
18,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
18,load_kw,0.05390620790489835,0.059346153504758775,Daily_seasonal
18,ev_power_kw,4.224692820377141,4.062704322317367,Weekly_seasonal
18,price_usd_per_kwh,0.0037221257168348278,0.005533323886851855,Daily_seasonal
19,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
19,load_kw,0.05392456660065803,0.059251190033034105,Daily_seasonal
19,ev_power_kw,4.227627277250004,4.065235722609102,Weekly_seasonal
19,price_usd_per_kwh,0.003723808146466774,0.005533419884574318,Daily_seasonal
20,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
20,load_kw,0.053982728434673354,0.05915464368085541,Daily_seasonal
20,ev_power_kw,4.228275393527921,4.064958386023752,Weekly_seasonal
20,price_usd_per_kwh,0.0037257217825786646,0.005535060048266569,Daily_seasonal
21,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
21,load_kw,0.05404188097794581,0.059069575938953164,Daily_seasonal
21,ev_power_kw,4.224412114683893,4.064635419181349,Weekly_seasonal
21,price_usd_per_kwh,0.0037269630191413584,0.005535290775661496,Daily_seasonal
22,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
22,load_kw,0.05406661183995447,0.05902311575060719,Daily_seasonal
22,ev_power_kw,4.222894231168939,4.066084407934268,Weekly_seasonal
22,price_usd_per_kwh,0.003728062503874755,0.0055355348700697115,Daily_seasonal
23,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
23,load_kw,0.054069807030234625,0.05902536377662612,Daily_seasonal
23,ev_power_kw,4.221573912260906,4.0666940860935785,Weekly_seasonal
23,price_usd_per_kwh,0.0037281093950508977,0.005534099464653265,Daily_seasonal
24,pv_power_kw,0.0331123155468857,0.04556932628636647,Daily_seasonal
24,load_kw,0.054097326099672015,0.059038161435070194,Daily_seasonal
24,ev_power_kw,4.2190690777666315,4.065991923363729,Weekly_seasonal
24,price_usd_per_kwh,0.0037288385861466472,0.0055341821310852975,Daily_seasonal
