mode,episodes,mean_return,std_return,median_return,minimum_return,maximum_return,mean_net_market_cost_usd,mean_grid_import_kwh,mean_grid_export_kwh,mean_peak_grid_import_kw,mean_bess_throughput_kwh,mean_sharing_scheduled_kwh,mean_reserve_feasible_kwh,power_balance_violation_steps,transformer_violation_steps,soc_below_min_count,soc_above_max_count
full_fc_hmarl,1268,-17573.003805824264,3199.9547782138497,-17100.05526621848,-26881.269603283075,-12410.019165794314,8575.627636145971,47084.772949828985,146.3646124919837,3155.2898774385953,2137.7105021180323,127.34299792048061,7120.655387622989,0,0,0,0
no_confidence_awareness,1268,-17567.033185746175,3200.47453864055,-17094.219661650237,-26876.767324458746,-12403.725289608696,8573.59892261058,47084.04965348,146.83847473925292,3155.354910442015,2137.8374243867306,73.68977508524236,7157.273629753665,0,0,0,0
no_energy_sharing,1268,-17572.128340782783,3200.0788940671214,-17099.383915559836,-26880.924665732364,-12409.54452361408,8575.17394033161,47082.457472500086,146.5963206051043,3155.1911482095547,2137.7108276016424,0.0,7120.745329781277,0,0,0,0
no_upper_level_coordination,1268,-18318.39124742983,3286.328436581303,-17905.34589209003,-28918.879456279872,-13193.122994434034,9026.01814462377,48439.10326418264,1349.2320094405275,3161.123494102966,2137.693546395081,7760.830902442503,0.0,66,0,0,0
