test_episode,start_index,load_kwh,pv_kwh,ev_kwh,bess_net_kwh,bess_throughput_kwh,grid_import_kwh,grid_export_kwh,grid_purchase_cost_usd,grid_sale_revenue_usd,reserve_revenue_usd,market_profit_usd,sharing_scheduled_kwh,sharing_received_kwh,sharing_loss_kwh,power_balance_violation_kw_sum,transformer_violation_kw_sum,total_return,coordinator_return,bess_degradation_cost_usd,risk_cost_usd,net_market_cost_usd,operating_cost_usd,peak_grid_import_kw,peak_grid_export_kw,mean_absolute_grid_exchange_kw,grid_peak_to_average_ratio,renewable_fraction_of_load_plus_ev,mean_confidence,mean_local_return_per_mg
11,562,50752.380008593405,1719.8159656968128,5301.805700184834,2121.6303123999655,2121.6303123999655,52213.11601811437,0.0,8622.464319135215,0.0,1735.5951599031687,-6886.869159232046,18.829371645782995,18.452784212867336,0.3765874329156599,0.0,0.0,-15555.575160447626,-6890.678235064413,42.43260624799931,3.8090758323669434,6886.8691592320465,6933.110841312413,3509.7473204345865,0.0,2175.546500754766,1.6132715707142753,0.030681312090267056,0.8412885069847107,-1732.9793850766425
12,566,50440.88248498765,1624.0979691047683,7072.831169170739,2121.6747621044883,2121.6747621044883,53768.321272032445,0.0,8949.350096750028,0.0,1735.694894194603,-7213.655202555425,19.017454166653014,18.637105083319952,0.3803490833330603,0.0,0.0,-16209.24787037991,-7217.464278387792,42.43349524208977,3.8090758323669434,7213.655202555425,7259.897773629881,3509.7473204345865,0.0,2240.346719668019,1.5666089938769259,0.02823844724878658,0.8412885069847107,-1798.3567183984237
13,629,47775.91454607086,8152.326017512919,15160.458988938666,2121.6577515128724,2121.6577515128724,52711.80594034437,49.09962198187517,9671.903717903333,6.4632016686817035,1736.771650314331,-7928.668865920324,15.827618937787724,15.51106655903197,0.3165523787557545,0.0,0.0,-17646.814814686284,-7932.477941752691,42.43315503025745,3.8090758323669434,7928.668865920321,7974.911096782946,3134.4980810236025,36.6446304144653,2197.333149132976,1.426501066650004,0.12953282115910345,0.8412885069847107,-1942.8673745867186
14,644,48216.926822592206,2861.474054897786,12169.232265904007,2121.926074498684,2121.926074498684,55403.180028190945,0.0,10005.147381395242,0.0,1736.1216672509909,-8269.02571414425,21.053454559969875,20.632385468770472,0.4210690911993975,0.0,0.0,-18320.420692861833,-8272.834789976618,42.43852148997368,3.8090758323669434,8269.02571414425,8315.273311466592,3150.9754921677786,0.0,2308.4658345079556,1.3649651838314523,0.04738625701800775,0.8412885069847107,-2009.517180577043
15,657,48540.25069037997,8311.869929041266,12158.134116276273,2121.8429329831683,2121.8429329831683,50265.15176850459,0.0,9344.101843358898,0.0,1735.7506113499403,-7608.351232008957,23.991193639759878,23.511369766964684,0.47982387279519756,0.0,0.0,-16998.699009859884,-7612.160307841324,42.436858659663365,3.8090758323669434,7608.351232008958,7654.597166500988,3150.9754921677786,0.0,2094.3813236876917,1.5044898732288559,0.13693725056304593,0.8412885069847107,-1877.3077404037122
16,691,48117.8693814694,7215.585996542812,10950.690264842577,2121.998494477016,2121.998494477016,49731.37722368278,0.0,9047.055952591989,0.0,1736.121742874384,-7310.934209717605,20.10341953162819,19.701351140995634,0.40206839063256394,0.0,0.0,-16404.2392080315,-7314.743285549972,42.439969889540315,3.8090758323669434,7310.934209717605,7357.183255439512,3084.0271383754166,0.0,2072.1407176534485,1.4883290078232994,0.12215611891923502,0.8412885069847107,-1817.8991844963064
17,812,48246.36154888523,2713.633992929369,15328.796421561025,2121.942066079396,2121.942066079396,58740.022301265824,0.0,12185.891688798247,0.0,1736.3923471421003,-10449.499341656146,22.01949141716023,21.579101588817018,0.4403898283432046,0.0,0.0,-22681.638947608346,-10453.308417488513,42.43884132158792,3.8090758323669434,10449.499341656146,10495.7472588101,3303.4638742666302,0.0,2447.5009292194095,1.349729364687194,0.042683873380084045,0.8412885069847107,-2445.6661060239667
18,813,48301.041754303405,2713.633992929369,15434.164230515458,2121.924123171376,2121.924123171376,58900.08213724277,0.0,12274.889025659188,0.0,1736.4154295623302,-10538.473596096857,21.713426233271772,21.279157708606334,0.4342685246654354,0.0,0.0,-22859.61018005184,-10542.282671929224,42.43848246342752,3.8090758323669434,10538.473596096857,10584.721154392651,3303.4638742666302,0.0,2454.1700890517823,1.3460615011989612,0.042576688205506565,0.8412885069847107,-2463.4655016245233
19,868,46437.90950218981,9488.93387750721,11789.57205046099,2121.3576200649068,2121.3576200649068,46617.67338638227,0.0,8305.184732067395,0.0,1736.4092803001404,-6568.775451767253,24.16656517842586,23.683233874857336,0.48333130356851717,0.0,0.0,-14920.196412068311,-6572.58452759962,42.42715240129814,3.8090758323669434,6568.775451767255,6615.01168000092,3419.9206815332104,0.0,1942.4030577659275,1.760664795012557,0.16296315115272622,0.8412885069847107,-1669.5223768937383
20,898,44700.437441520866,6226.513953514457,9441.629441858406,2121.796392615514,2121.796392615514,45794.11664598194,0.0,7685.611727792303,0.0,1735.7214380055666,-5949.890289786738,18.005436632090785,17.64532789944897,0.36010873264181564,0.0,0.0,-13681.74702126372,-5953.699365619105,42.43592785231028,3.8090758323669434,5949.8902897867365,5996.135293471414,3118.701989230131,0.0,1908.088193582581,1.634464276713819,0.11500325554482839,0.8412885069847107,-1545.6095311289232
21,920,50684.37578943014,5902.413923171222,8727.816798565887,2121.4330140998077,2121.4330140998077,51388.69375601604,0.0,9455.344603976993,0.0,1735.6787280738354,-7719.665875903158,17.405264551292856,17.057159260267,0.3481052910258572,0.0,0.0,-17221.248215994518,-7723.474951735525,42.42866028199615,3.8090758323669434,7719.665875903158,7765.9036120175215,3445.6753426191253,0.0,2141.1955731673347,1.6092296218986464,0.09934684558946541,0.8412885069847107,-1899.5546528517982
22,952,49989.30536187412,7137.144050800563,13127.636116778696,2121.892425677103,2121.892425677103,53858.24404809271,0.0,9704.472856034366,0.0,1736.647699251771,-7967.825156782599,16.95229587785382,16.61324996029675,0.33904591755707647,0.0,0.0,-17718.544937162875,-7971.634232614966,42.43784851354206,3.8090758323669434,7967.8251567825955,8014.072081128505,3327.395395980094,0.0,2244.0935020038633,1.4827347403345252,0.11307810365327131,0.8412885069847107,-1949.3821409095822
23,959,49141.63926408102,7137.144050800563,12166.852403600791,2121.9379679753306,2121.9379679753306,52049.78156351378,0.0,9507.416130601743,0.0,1736.5441686660051,-7770.871961935739,18.595730392791193,18.22381578493537,0.37191460785582386,0.0,0.0,-17324.535927729357,-7774.681037768106,42.43875935950661,3.8090758323669434,7770.871961935738,7817.1197971276115,3255.352704621001,0.0,2168.7408984797407,1.5010334830237033,0.1164136297706838,0.8412885069847107,-1909.97097799225
24,985,53976.004008005526,9329.179941637516,12038.863943023636,2121.930285186217,2121.930285186217,54564.13287190273,0.0,12306.206935744427,0.0,1736.8503915518522,-10569.356544192575,18.757384865486962,18.382237168177223,0.3751476973097392,0.0,0.0,-22921.811161473095,-10573.165620024942,42.43860570372434,3.8090758323669434,10569.356544192575,10615.604225728666,3987.6888094652986,0.0,2273.505536329281,1.753982449457183,0.14131937594055397,0.8412885069847107,-2469.7291082896304
25,987,54058.9050679668,9526.9579686625,12200.856866388433,2121.4518120850653,2121.4518120850653,54611.784128844854,0.0,12675.55227941059,0.0,1736.8945015966892,-10938.6577778139,21.598761859561556,21.166786622370324,0.4319752371912311,0.0,0.0,-23660.448169298557,-10942.466853646267,42.429036241701304,3.8090758323669434,10938.6577778139,10984.895889887968,3987.6888094652986,0.0,2275.4910053685358,1.7524520202704372,0.14378195288569,0.8412885069847107,-2543.5962631304583
26,1041,51224.707122989465,9330.747904809237,6126.6881868520195,2121.742092588936,2121.7420925889364,46056.957907080556,157.7190790386587,9195.95061600125,21.447477454970844,1737.0317969471216,-7437.471341599157,16.675779929210876,16.34226433062666,0.33351559858421753,0.0,0.0,-16679.665875284554,-7441.280417431524,42.43484185177873,3.8090758323669434,7437.471341599157,7483.715259283303,3644.17244337218,157.7190790386587,1925.6115410883006,1.8924753854105996,0.16269434866230853,0.8412885069847107,-1847.677091570606
27,1055,49929.009352280475,9350.459881939889,6184.883911752005,2121.949547372089,2121.949547372089,44641.88889747595,0.0,8437.584353215636,0.0,1736.5781948715448,-6701.00615834409,20.253137771947163,19.84807501650822,0.4050627554389433,0.0,0.0,-15184.838578339537,-6704.815234176457,42.43899094744178,3.8090758323669434,6701.006158344091,6747.2542251239,3891.2750038432678,0.0,1860.0787040614978,2.0919948147068377,0.16663359710122425,0.8412885069847107,-1696.0046688326154
28,1068,52057.5486668758,6453.453937371732,4459.888047511584,2121.847154743672,2121.847154743672,47942.63538590417,0.0,8535.444243946025,0.0,1736.3039779663086,-6799.140265979717,24.988181608871507,24.48841797669408,0.49976363217743014,0.0,0.0,-15380.830528852983,-6802.949341812084,42.43694309487344,3.8090758323669434,6799.140265979717,6845.386284906957,3891.2750038432678,0.0,1997.6098077460072,1.9479655079557143,0.11418518447650874,0.8412885069847107,-1715.5762374081794
29,1169,50529.69776089393,7007.8120247786055,2276.7348900346487,2121.6963174961315,2121.6963174961315,43677.60395995796,0.0,7023.12467438719,0.0,1734.374581053853,-5288.750093333337,33.98256520626704,33.30291390214168,0.6796513041253409,0.0,0.0,-12358.11776990282,-5292.559169165704,42.43392634992263,3.8090758323669434,5288.750093333337,5334.993095515626,3197.538326322262,0.0,1819.9001649982486,1.756985568670103,0.13270754476264315,0.8412885069847107,-1413.1117201474228
30,1219,46044.58126044416,7658.602148930312,5314.426817063229,2121.7836072166883,2121.7836072166883,41579.19102670491,0.0,6567.700670446799,0.0,1734.5532899349928,-4833.147380511807,28.435267225032756,27.866561880532103,0.5687053445006551,0.0,0.0,-11447.092798935306,-4836.956456344174,42.435672144333765,3.8090758323669434,4833.147380511807,4879.392128488507,2587.3076679372875,0.0,1732.4662927793713,1.4934245351385775,0.14911896540860933,0.8412885069847107,-1322.0272685182267
