metric,mean,std,median,minimum,maximum
load_kwh,48194.493233947054,3159.9274969782864,48273.70165159432,41413.18753817373,54058.9050679668
pv_kwh,7739.178060431239,3031.404035972681,8232.097973277092,1624.0979691047683,11617.312117362499
ev_kwh,10241.619412176737,3731.5724378121076,10553.704332221987,2276.7348900346487,15754.48437328808
bess_net_kwh,2121.7854883043833,0.17666563602762841,2121.8284533413776,2121.3576200649068,2122.0583824083533
bess_throughput_kwh,2121.7854883043833,0.1766656360276247,2121.8284533413776,2121.3576200649068,2122.0583824083533
grid_import_kwh,48599.632789888965,5637.018513079566,48573.06786350273,34696.17017126538,58900.08213724277
grid_export_kwh,24.06435742533241,95.78686005279864,0.0,0.0,515.1120217394384
grid_purchase_cost_usd,9255.215723898566,1616.8401281624456,9121.50328429662,6567.700670446799,12675.55227941059
grid_sale_revenue_usd,3.1881859209716965,12.629130158145271,0.0,0.0,67.73489850549834
reserve_revenue_usd,1736.2315424233675,0.7644626755791997,1736.4008137211204,1734.374581053853,1737.957623898983
market_profit_usd,-7515.795995554227,1620.034577519966,-7374.202775658381,-10938.6577778139,-4833.147380511807
sharing_scheduled_kwh,20.966753772990597,4.036253789372032,20.12831900524355,14.135886947759671,33.98256520626704
sharing_received_kwh,20.547418697530784,3.9555287135845894,19.725752625138682,13.853169208804479,33.30291390214168
sharing_loss_kwh,0.41933507545981197,0.08072507578744063,0.4025663801048711,0.28271773895519353,0.6796513041253409
power_balance_violation_kw_sum,0.0,0.0,0.0,0.0,0.0
transformer_violation_kw_sum,0.0,0.0,0.0,0.0,0.0
total_return,-16817.25650505125,3236.851713056684,-16541.95254165803,-23660.448169298557,-11447.092798935306
coordinator_return,-7519.605071386594,1620.034577519966,-7378.011851490748,-10942.466853646267,-4836.956456344174
bess_degradation_cost_usd,42.43570976608767,0.003533312720552466,42.43656906682755,42.42715240129814,42.44116764816707
risk_cost_usd,3.8090758323669434,0.0,3.8090758323669434,3.8090758323669434,3.8090758323669434
net_market_cost_usd,7515.7959955542265,1620.0345775199655,7374.202775658381,4833.147380511807,10938.6577778139
operating_cost_usd,7562.040781152682,1620.0353178749135,7420.449257361408,4879.392128488507,10984.895889887968
peak_grid_import_kw,3319.8071060640764,377.28418826264993,3279.4082894438156,2587.3076679372875,3987.6888094652986
peak_grid_export_kw,19.173401206396814,73.08155000398887,0.0,0.0,380.83832673878044
mean_absolute_grid_exchange_kw,2025.9343832704228,233.10786223022973,2023.877827645947,1466.5847379756458,2454.1700890517823
grid_peak_to_average_ratio,1.6544397978670131,0.22890949650124026,1.6046343537514645,1.3460615011989612,2.1342511766414947
renewable_fraction_of_load_plus_ev,0.13389087863044083,0.05517534146928648,0.13912831325179995,0.02823844724878658,0.23670962865364562
mean_confidence,0.8412885069847107,0.0,0.8412885069847107,0.8412885069847107,0.8412885069847107
mean_local_return_per_mg,-1859.530286732931,323.36817414360166,-1832.788138033456,-2543.5962631304583,-1322.0272685182267
