test_episode,start_index,hour,grid_power_kw,grid_import_kw,grid_export_kw,load_kw,pv_kw,ev_kw,bess_kw,sharing_scheduled_kw,sharing_loss_kw,market_profit_usd,confidence
1,107,1,625.0925940083645,625.0925940083645,0.0,1803.4071001901357,0.0,262.63663776304946,1440.9674018621445,0.8128958661866581,0.016257917323733162,-72.70950936358551,0.8412885069847107
1,107,2,1417.748830575584,1417.748830575584,0.0,1599.0811560109678,0.0,486.98564474868977,668.3743941946782,2.8212005302235,0.05642401060447,-250.7718443880549,0.8412885069847107
1,107,3,2122.3660070795295,2122.3660070795295,0.0,1627.0400031936715,0.0,507.8667435992286,12.562108670931194,1.0684478780187412,0.021368957560374824,-391.08785699477363,0.8412885069847107
1,107,4,1830.9593790701115,1830.9593790701115,0.0,1636.84348875598,0.0,194.10749843137336,0.0,0.41959413790504385,0.008391882758100877,-315.4372866733597,0.8412885069847107
1,107,5,1803.5430165233797,1803.5430165233797,0.0,1757.4236341037317,0.0,46.11650300878882,0.0,0.14397054297332623,0.0028794108594665246,-281.9909451518636,0.8412885069847107
1,107,6,1814.7177572468524,1814.7177572468524,0.0,1794.3531018181418,0.0,20.345777063033275,0.0,0.9439182838679727,0.018878365677359454,-258.7002332946346,0.8412885069847107
1,107,7,1770.9808066655228,1770.9808066655228,0.0,1763.6221697889493,0.0,7.339822129575506,0.0,0.9407373498913074,0.01881474699782615,-241.20693822067182,0.8412885069847107
1,107,8,1947.537873845105,1947.537873845105,0.0,1940.1795091815623,0.0,7.339822129575506,0.0,0.9271266983592596,0.018542533967185193,-264.06612954999025,0.8412885069847107
1,107,9,2437.4745890043678,2437.4745890043678,0.0,2410.1026277568744,0.0,27.35519714028197,0.0,0.8382053605817674,0.01676410721163535,-348.1571434215371,0.8412885069847107
1,107,10,2404.8917458369256,2404.8917458369256,0.0,2345.880552691541,0.0,58.99240233639846,0.0,0.9395404493093285,0.01879080898618657,-339.14783541307077,0.8412885069847107
1,107,11,2706.3877828170084,2706.3877828170084,0.0,2670.465135178604,0.0,35.90657098325127,0.0,0.8038327576449511,0.016076655152899022,-394.7238356252546,0.8412885069847107
1,107,12,2910.915811351243,2910.915811351243,0.0,2903.559043891997,0.0,7.339822129575506,0.0,0.8472664835204036,0.01694532967040807,-442.56102907153286,0.8412885069847107
1,107,13,2589.381120010198,2589.381120010198,0.0,2582.0201664878587,0.0,7.339822129575506,0.0,1.056569638180349,0.021131392763606982,-421.0843262104636,0.8412885069847107
1,107,14,2567.2457740088407,2567.2457740088407,0.0,2502.2600632893377,0.0,64.9664867652616,0.0,0.9611977120584925,0.01922395424116985,-496.97283441592697,0.8412885069847107
1,107,15,2290.0445986143886,2290.0445986143886,0.0,2046.2567381441702,94.13600520038612,337.90745755294205,0.0,0.820405883126929,0.01640811766253858,-481.8962873538262,0.8412885069847107
1,107,16,2091.751486599514,2091.751486599514,0.0,1802.2173675645633,764.4000053405762,1053.9341243755268,0.0,0.0,0.0,-411.51509238550733,0.8412885069847107
1,107,17,2420.9287846713423,2420.9287846713423,0.0,1627.84899006344,1257.200002670288,2050.274417612573,0.0,0.26898328087954226,0.005379665617590845,-500.246070885143,0.8412885069847107
1,107,18,2002.5565515518902,2002.5565515518902,0.0,1663.8743497100074,1643.6000347137451,1982.2530028856434,0.0,1.4616834992309258,0.029233669984618516,-424.2056593736276,0.8412885069847107
1,107,19,1602.4531837459895,1602.4531837459895,0.0,1533.3837237623325,1845.1999425888062,1914.2314032626446,0.0,1.8999654909266361,0.03799930981853272,-314.3165649252832,0.8412885069847107
