mode,total_return,grid_import_kwh,grid_export_kwh,net_market_cost_usd,bess_throughput_kwh,sharing_scheduled_kwh,peak_grid_import_kw,power_balance_violation_steps,transformer_violation_steps
passive_grid_only,-19301.22101060412,50714.11680519814,17.182219505583863,9647.576243862222,0.0,0.0,3344.0340709517145,0,0
rule_based_bess_ems,-18802.267912459734,49298.00595204688,26.540833783158725,9382.876291029224,1459.8339057092865,0.0,3335.109987057703,0,0
full_fc_hmarl,-16817.25650505125,48599.632789888965,24.06435742533241,7515.7959955542265,2121.7854883043833,20.966753772990597,3319.8071060640764,0,0
