mode,test_episode,start_index,total_return,coordinator_return,mean_local_return_per_mg,grid_import_kwh,grid_export_kwh,grid_purchase_cost_usd,grid_sale_revenue_usd,reserve_revenue_usd,net_market_cost_usd,market_profit_usd,bess_throughput_kwh,sharing_scheduled_kwh,sharing_loss_kwh,peak_grid_import_kw,peak_grid_export_kw,power_balance_violation_steps,transformer_violation_steps
passive_grid_only,1,107,-20994.024265359432,-10498.9166705959,-2099.0215189527066,49709.01123033962,0.0,10495.107594763533,0.0,0.0,10495.107594763533,-10495.107594763533,0.0,0.0,0.0,2910.8988660215728,0.0,0,0
passive_grid_only,2,110,-21783.60604962067,-10893.707562726519,-2177.97969737883,49327.633228888866,0.0,10889.898486894152,0.0,0.0,10889.898486894152,-10889.898486894152,0.0,0.0,0.0,2910.8988660215728,0.0,0,0
passive_grid_only,3,117,-22805.677342076437,-11404.743208954402,-2280.1868266244064,47289.05694794894,0.0,11400.934133122035,0.0,0.0,11400.934133122035,-11400.934133122035,0.0,0.0,0.0,2910.8988660215728,0.0,0,0
passive_grid_only,4,160,-21314.158771590053,-10658.98392371121,-2131.0349695757686,42519.682806935416,0.0,10655.174847878843,0.0,0.0,10655.174847878843,-10655.174847878843,0.0,0.0,0.0,2693.2548155974546,0.0,0,0
passive_grid_only,5,230,-14208.588308002667,-7072.306986207907,-1427.256264358952,36817.944298225964,515.4665851675159,7136.2813217947605,67.78341141921902,0.0,7068.497910375541,-7068.49791037554,0.0,0.0,0.0,3130.035411009528,380.8476685086187,0,0
passive_grid_only,6,251,-16218.611655939269,-8111.210365885818,-1621.4802580106905,40111.0887737248,0.0,8107.401290053451,0.0,0.0,8107.401290053451,-8107.401290053451,0.0,0.0,0.0,3166.4857778255155,0.0,0,0
passive_grid_only,7,467,-17266.765148248185,-8635.287112040276,-1726.2956072415818,51325.01666108327,0.0,8631.47803620791,0.0,0.0,8631.47803620791,-8631.47803620791,0.0,0.0,0.0,3216.868602044544,0.0,0,0
passive_grid_only,8,509,-17817.4088913547,-8910.60898359353,-1781.3599815522334,52375.346091919004,0.0,8906.799907761164,0.0,0.0,8906.799907761164,-8906.799907761164,0.0,0.0,0.0,3510.6689445871484,0.0,0,0
passive_grid_only,9,538,-16235.676135095837,-8119.742605464102,-1623.1867059263468,47555.45595301356,0.0,8115.933529631735,0.0,0.0,8115.933529631735,-8115.933529631735,0.0,0.0,0.0,3778.819616006969,0.0,0,0
passive_grid_only,10,545,-16183.481723653698,-8093.645399743033,-1617.967264782133,47657.35927932535,0.0,8089.836323910666,0.0,0.0,8089.836323910666,-8089.836323910666,0.0,0.0,0.0,3778.819616006969,0.0,0,0
passive_grid_only,11,562,-18011.53619836782,-9007.672637100093,-1800.7727122535457,54334.36974308143,0.0,9003.863561267726,0.0,0.0,9003.863561267726,-9003.863561267726,0.0,0.0,0.0,3509.7276651159277,0.0,0,0
passive_grid_only,12,566,-18639.11567376541,-9321.462374798888,-1863.5306597933043,55889.615685053606,0.0,9317.653298966521,0.0,0.0,9317.653298966521,-9317.653298966521,0.0,0.0,0.0,3509.7276651159277,0.0,0,0
passive_grid_only,13,629,-20108.409849588872,-10056.10946271062,-2010.4600773756506,54784.0475174966,0.0,10052.300386878253,0.0,0.0,10052.300386878253,-10052.300386878253,0.0,0.0,0.0,3134.4938194971337,0.0,0,0
passive_grid_only,14,644,-20707.875296247596,-10355.842186039981,-2070.406622041523,57524.68503359842,0.0,10352.033110207614,0.0,0.0,10352.033110207614,-10352.033110207614,0.0,0.0,0.0,3150.9577283835624,0.0,0,0
passive_grid_only,15,657,-19436.376218320544,-9720.092647076455,-1943.256714248818,52386.51487761496,0.0,9716.283571244088,0.0,0.0,9716.283571244088,-9716.283571244088,0.0,0.0,0.0,3150.9577283835624,0.0,0,0
passive_grid_only,16,691,-18775.840560719844,-9389.824818276105,-1877.2031484887473,51852.97364976915,0.0,9386.015742443738,0.0,0.0,9386.015742443738,-9386.015742443738,0.0,0.0,0.0,3127.396577034201,0.0,0,0
passive_grid_only,17,812,-25065.9219984667,-12534.865537149533,-2506.211292263433,60861.523977516896,0.0,12531.056461317166,0.0,0.0,12531.056461317166,-12531.056461317166,0.0,0.0,0.0,3303.4384406553972,0.0,0,0
passive_grid_only,18,813,-25253.06791042382,-12628.438493128093,-2524.9258834591446,61021.57199188949,0.0,12624.629417295726,0.0,0.0,12624.629417295726,-12624.629417295726,0.0,0.0,0.0,3303.4384406553972,0.0,0,0
passive_grid_only,19,868,-17453.794060206743,-8728.801568019555,-1744.9984984374375,48738.54767514359,0.0,8724.992492187188,0.0,0.0,8724.992492187188,-8724.992492187188,0.0,0.0,0.0,3419.901988451212,0.0,0,0
passive_grid_only,20,898,-16128.736416826221,-8066.272746329293,-1612.4927340993854,47915.55292986482,0.0,8062.463670496926,0.0,0.0,8062.463670496926,-8062.463670496926,0.0,0.0,0.0,3118.692202552053,0.0,0,0
passive_grid_only,21,920,-19620.272200424,-9812.040638128183,-1961.6463124591635,53509.778664824815,0.0,9808.231562295816,0.0,0.0,9808.231562295816,-9808.231562295816,0.0,0.0,0.0,3445.6570489954074,0.0,0,0
passive_grid_only,22,952,-20153.792474053367,-10078.800774942867,-2014.9983398221,55979.79742785226,0.0,10074.9916991105,0.0,0.0,10074.9916991105,-10074.9916991105,0.0,0.0,0.0,3327.384262037426,0.0,0,0
passive_grid_only,23,959,-19761.892965635736,-9882.851020734051,-1975.808388980337,54171.34761688125,0.0,9879.041944901684,0.0,0.0,9879.041944901684,-9879.041944901684,0.0,0.0,0.0,3255.3451842096397,0.0,0,0
passive_grid_only,24,985,-25601.749012046752,-12802.77904393956,-2559.7939936214384,56685.68800939165,0.0,12798.969968107192,0.0,0.0,12798.969968107192,-12798.969968107192,0.0,0.0,0.0,3987.666455825753,0.0,0,0
passive_grid_only,25,987,-26211.017470717175,-13107.413273274771,-2620.720839488481,56732.80396569273,0.0,13103.604197442404,0.0,0.0,13103.604197442404,-13103.604197442404,0.0,0.0,0.0,3987.666455825753,0.0,0,0
passive_grid_only,26,1041,-19152.16093279618,-9577.985004314274,-1914.8351856963818,48020.64740503223,0.0,9574.175928481907,0.0,0.0,9574.175928481907,-9574.175928481907,0.0,0.0,0.0,3644.150568641865,0.0,0,0
passive_grid_only,27,1055,-17711.868924412433,-8857.839000122398,-1770.8059848580062,46763.4333820926,0.0,8854.029924290031,0.0,0.0,8854.029924290031,-8854.029924290031,0.0,0.0,0.0,3891.259391059261,0.0,0,0
passive_grid_only,28,1068,-17949.812693648895,-8976.810884740631,-1794.6003617816532,50063.98277701568,0.0,8973.001808908264,0.0,0.0,8973.001808908264,-8973.001808908264,0.0,0.0,0.0,3891.259391059261,0.0,0,0
passive_grid_only,29,1169,-14674.323419456668,-7339.066247644518,-1467.0514343624307,45798.620626149976,0.0,7335.257171812151,0.0,0.0,7335.257171812151,-7335.257171812151,0.0,0.0,0.0,3197.51145898033,0.0,0,0
passive_grid_only,30,1219,-13791.067751057837,-6897.438413445102,-1378.7258675225467,43700.4059285771,0.0,6893.629337612735,0.0,0.0,6893.629337612735,-6893.629337612735,0.0,0.0,0.0,2956.7402749295366,0.0,0,0
rule_based_bess_ems,1,107,-20362.110366836598,-10168.459721334482,-2038.730129100423,48259.01123033962,0.0,10164.650645502115,0.0,0.0,10164.650645502115,-10164.650645502115,1450.0,0.0,0.0,2910.8988660215728,0.0,0,0
rule_based_bess_ems,2,110,-21242.82692527651,-10608.818000554438,-2126.801784944414,47877.633228888866,0.0,10605.008924722071,0.0,0.0,10605.008924722071,-10605.008924722071,1450.0,0.0,0.0,2910.8988660215728,0.0,0,0
rule_based_bess_ems,3,117,-22321.69337182449,-11148.251223828429,-2234.688429599212,45839.05694794894,0.0,11144.442147996062,0.0,0.0,11144.442147996062,-11144.442147996062,1450.0,0.0,0.0,2706.3717061618554,0.0,0,0
rule_based_bess_ems,4,160,-20661.187263161315,-10317.998169496841,-2068.6378187328946,41069.682806935416,0.0,10314.189093664474,0.0,0.0,10314.189093664474,-10314.189093664474,1450.0,0.0,0.0,2693.2548155974546,0.0,0,0
rule_based_bess_ems,5,230,-13804.281674963038,-6859.3216182186425,-1388.992011348879,35748.79196761879,380.84768035339175,6905.650725260258,50.13818287398164,0.0,6855.512542386276,-6855.5125423862755,1965.4665742069483,0.0,0.0,3130.035411009528,253.19398134070602,0,0
rule_based_bess_ems,6,251,-15624.751356301513,-7795.6382580691115,-1565.8226196464807,38712.92049215077,51.83171842597305,7800.113098232403,8.2839159956584,0.0,7791.829182236745,-7791.829182236745,1450.0,0.0,0.0,3166.4857778255155,43.26286509217098,0,0
rule_based_bess_ems,7,467,-16738.352189696034,-8356.5806327642,-1676.3543113863666,49875.01666108327,0.0,8352.771556931833,0.0,0.0,8352.771556931833,-8352.771556931833,1450.0,0.0,0.0,3216.868602044544,0.0,0,0
rule_based_bess_ems,8,509,-17349.075547200235,-8660.156882597143,-1737.7837329206184,50954.379022583234,29.032930664229582,8659.918664603088,3.5708578383134446,0.0,8656.347806764776,-8656.347806764776,1450.0,0.0,0.0,3510.6689445871484,11.792801455029092,0,0
rule_based_bess_ems,9,538,-15718.555318033377,-7846.682196932872,-1574.3746242201012,46105.45595301356,0.0,7842.873121100505,0.0,0.0,7842.873121100505,-7842.873121100505,1450.0,0.0,0.0,3778.819616006969,0.0,0,0
rule_based_bess_ems,10,545,-15735.564163287294,-7855.18661955983,-1576.0755087454927,46207.35927932535,0.0,7851.3775437274635,0.0,0.0,7851.3775437274635,-7851.3775437274635,1450.0,0.0,0.0,3778.819616006969,0.0,0,0
rule_based_bess_ems,11,562,-17505.511073547284,-8740.160074689826,-1753.0701997714918,52884.36974308142,0.0,8736.350998857459,0.0,0.0,8736.350998857459,-8736.350998857459,1450.0,0.0,0.0,3509.7276651159277,0.0,0,0
rule_based_bess_ems,12,566,-18176.084881910087,-9075.25975759191,-1820.1650248636354,54442.73806853297,3.1223834793560243,9071.825124318178,0.3744425586353482,0.0,9071.450681759543,-9071.450681759543,1450.0,0.0,0.0,3509.7276651159277,0.0,0,0
rule_based_bess_ems,13,629,-19704.79683212436,-9819.478357420057,-1977.063694940861,53711.21514818573,322.7256869244445,9857.407313579597,41.73803199190632,0.0,9815.66928158769,-9815.66928158769,1395.5580562353134,0.0,0.0,3134.4938194971337,322.7256869244445,0,0
rule_based_bess_ems,14,644,-20265.385785319173,-10120.09743057577,-2029.0576709486807,56074.68503359842,0.0,10116.288354743403,0.0,0.0,10116.288354743403,-10116.288354743403,1450.0,0.0,0.0,3150.9577283835624,0.0,0,0
rule_based_bess_ems,15,657,-18942.883298086894,-9458.84618695963,-1896.8074222254531,50936.51487761496,0.0,9455.037111127263,0.0,0.0,9455.037111127263,-9455.037111127263,1450.0,0.0,0.0,3150.9577283835624,0.0,0,0
rule_based_bess_ems,16,691,-18344.027510591317,-9159.418293211842,-1836.921843475895,50402.97364976915,0.0,9155.609217379475,0.0,0.0,9155.609217379475,-9155.609217379475,1450.0,0.0,0.0,3084.0221812734126,0.0,0,0
rule_based_bess_ems,17,812,-24621.81517536961,-12298.312125600989,-2464.700609953724,59411.523977516896,0.0,12294.503049768622,0.0,0.0,12294.503049768622,-12294.503049768622,1450.0,0.0,0.0,3303.4384406553972,0.0,0,0
rule_based_bess_ems,18,813,-24793.87404022672,-12384.341558029544,-2481.9064964394356,59571.57199188949,0.0,12380.532482197177,0.0,0.0,12380.532482197177,-12380.532482197177,1450.0,0.0,0.0,3303.4384406553972,0.0,0,0
rule_based_bess_ems,19,868,-16932.459638754804,-8453.043426101895,-1695.8832425305827,47297.21228879098,8.664613647366764,8450.416212652912,1.1818623833853181,0.0,8449.234350269526,-8449.234350269528,1450.0,0.0,0.0,3419.901988451212,0.0,0,0
rule_based_bess_ems,20,898,-15622.199348546215,-7798.50421218929,-1564.7390272713847,46465.55292986482,0.0,7794.695136356923,0.0,0.0,7794.695136356923,-7794.695136356923,1450.0,0.0,0.0,3118.692202552053,0.0,0,0
rule_based_bess_ems,21,920,-19166.676495966174,-9570.74278589927,-1919.1867420133815,52059.778664824815,0.0,9566.933710066904,0.0,0.0,9566.933710066904,-9566.933710066904,1450.0,0.0,0.0,3445.6570489954074,0.0,0,0
rule_based_bess_ems,22,952,-19697.12258032918,-9835.965828080774,-1972.2313504496815,54529.79742785226,0.0,9832.156752248407,0.0,0.0,9832.156752248407,-9832.156752248407,1450.0,0.0,0.0,3327.384262037426,0.0,0,0
rule_based_bess_ems,23,959,-19244.73549657424,-9609.772286203304,-1926.9926420741879,52721.34761688125,0.0,9605.963210370937,0.0,0.0,9605.963210370937,-9605.963210370937,1450.0,0.0,0.0,3255.3451842096397,0.0,0,0
rule_based_bess_ems,24,985,-25013.17308411517,-12493.991079973768,-2503.83640082828,55235.68800939165,0.0,12490.182004141401,0.0,0.0,12490.182004141401,-12490.182004141401,1450.0,0.0,0.0,3987.666455825753,0.0,0,0
rule_based_bess_ems,25,987,-25624.513075501636,-12799.661075667002,-2564.970399966927,55282.80396569273,0.0,12795.851999834635,0.0,0.0,12795.851999834635,-12795.851999834635,1450.0,0.0,0.0,3987.666455825753,0.0,0,0
rule_based_bess_ems,26,1041,-18672.04290123046,-9325.08606312305,-1869.3913676214822,46736.654864195894,0.0,9321.276987290683,0.0,0.0,9321.276987290683,-9321.276987290683,1283.9925408363342,0.0,0.0,3644.150568641865,0.0,0,0
rule_based_bess_ems,27,1055,-17132.632445204134,-8553.720760518248,-1715.7823369371763,45313.4333820926,0.0,8549.911684685881,0.0,0.0,8549.911684685881,-8549.911684685881,1450.0,0.0,0.0,3891.259391059261,0.0,0,0
rule_based_bess_ems,28,1068,-17388.80779348752,-8681.808434659943,-1741.3998717655154,48613.98277701568,0.0,8677.999358827576,0.0,0.0,8677.999358827576,-8677.999358827576,1450.0,0.0,0.0,3891.259391059261,0.0,0,0
rule_based_bess_ems,29,1169,-14275.396745625687,-7125.102910729027,-1430.0587669793326,44348.62062614998,0.0,7121.29383489666,0.0,0.0,7121.29383489666,-7121.29383489666,1450.0,0.0,0.0,3197.51145898033,0.0,0,0
rule_based_bess_ems,30,1219,-13385.500994700886,-6680.155035266626,-1341.0691918868517,42250.4059285771,0.0,6676.345959434259,0.0,0.0,6676.345959434259,-6676.345959434259,1450.0,0.0,0.0,2936.91931372969,0.0,0,0
