mode,episodes,mean_return,std_return,median_return,worst_return,best_return,lower_tail_return_var,lower_tail_return_cvar,mean_net_market_cost_usd,std_net_market_cost_usd,median_net_market_cost_usd,minimum_net_market_cost_usd,maximum_net_market_cost_usd,cost_var95_usd,cost_cvar95_usd,cost_coefficient_of_variation,mean_grid_import_kwh,std_grid_import_kwh,maximum_grid_import_kwh,mean_peak_grid_import_kw,maximum_peak_grid_import_kw,power_balance_violation_steps,transformer_violation_steps
passive_grid_only,30,-19301.22101060412,3255.9912576597744,-18964.000746758014,-26211.01747071717,-13791.067751057835,-25444.842516316432,-25906.383241381962,9647.576243862222,1629.7730045723035,9480.095835462824,6893.629337612735,13103.604197442404,12720.516720242033,12951.287082774797,0.16893082400972612,50714.11680519814,5638.249775007374,61021.57199188949,3344.0340709517145,3987.666455825753,0,0
rule_based_bess_ems,30,-18802.267912459734,3235.798068567282,-18508.03520591089,-25624.51307550164,-13385.500994700886,-24914.488514365366,-25318.843079808405,9382.876291029224,1619.4509528198873,9238.44310233508,6676.345959434259,12795.851999834636,12440.839719266498,12643.017001988017,0.17259643019787133,49298.00595204688,5611.19833939527,59571.57199188949,3335.109987057703,3987.666455825753,0,0
full_fc_hmarl,30,-16817.25650505125,3236.8517130566834,-16541.95254165803,-23660.44816929856,-11447.092798935306,-22893.82071983353,-23291.129665385826,7515.795995554227,1620.0345775199658,7374.202775658381,4833.147380511807,10938.6577778139,10555.459217549502,10754.00716100324,0.21555063209249622,48599.632789888965,5637.018513079565,58900.08213724277,3319.8071060640764,3987.6888094652986,0,0
