forecast_hour,Phi_causal,forecast_pv_normalized,forecast_load_normalized,forecast_ev_normalized,forecast_price_normalized,S_pred_pv,S_pred_load,S_pred_ev,S_pred_price
1,0.8412885139636873,0.0,0.3452729290795091,0.0,0.6848654747009277,0.0,0.29047414941718985,0.0,0.5761694574761788
2,0.8310503064144611,0.09300000220537186,0.25720747653780435,0.11053343780450085,0.6911608576774597,0.07728768032931983,0.21375235218883262,0.0918588473564742,0.5743894425545346
3,0.8268570903306457,0.27799999713897705,0.12539934835694297,0.3898993613363058,0.5654959082603455,0.2298662687462624,0.1036873403117809,0.32239105143631486,0.467584301298035
4,0.8252056920597498,0.4480000138282776,0.07154028028159881,0.6109477919993346,0.5083360075950623,0.3696921614539413,0.05903544649992522,0.5041575955091869,0.41948176694637357
5,0.8258965071982469,0.5789999961853027,0.0450451757190371,0.7226080016305287,0.4653996229171753,0.47819407451723983,0.037202653292484025,0.5967994246201588,0.3843719230186763
6,0.8238394262529437,0.6480000019073486,0.091965890249731,0.7085372768281145,0.4389715790748596,0.5338479497832566,0.07576512625817958,0.583720943620897,0.3616420938463811
7,0.8261574621456843,0.6539999842643738,0.1814871399407808,0.5861187509972208,0.40639156103134155,0.5403069672431725,0.14993695494555412,0.48422637983986216,0.3357434206990761
8,0.827259071887225,0.5979999899864197,0.2690682866796501,0.45751245939259566,0.4075213372707367,0.4947009167047354,0.22258918111289314,0.37848133253396044,0.3371257232448304
9,0.8216141747898655,0.48100000619888306,0.2741931675087321,0.3730216105186584,0.3723004162311554,0.39519642316701553,0.2252809930557063,0.30647984270507417,0.3058872992556842
10,0.8242052345384003,0.3179999887943268,0.29509201488804043,0.26003564248260524,0.37848907709121704,0.2620972553474368,0.2432163833412065,0.21432273770071927,0.31195267855418923
11,0.8227007464598012,0.1289999932050705,0.23874332270222204,0.21021662497519727,0.455670565366745,0.10612839070312077,0.19641430979941127,0.1729453742853549,0.3748805142669807
12,0.8255275060166539,0.0,0.18641098743321138,0.1237867344080222,0.7263233065605164,0.0,0.15388739754984082,0.10218935413380048,0.5995998678266726
13,0.8211747014834505,0.0,0.14944396977634966,0.1510317172107238,0.6495105624198914,0.0,0.12271960726959573,0.12402342529504903,0.5333616422055023
14,0.8218822266898078,0.0,0.144408615584229,0.1262597081602019,0.618314266204834,0.0,0.1186868745295586,0.10377061008391204,0.5081815059025035
15,0.8192282695104312,0.0,0.18757365830928463,0.11063262963260231,0.5792839527130127,0.0,0.15366564350245615,0.09063337772530523,0.47456579013624384
16,0.8259864151695097,0.0,0.13657329133355064,0.10174743565820815,0.5022454857826233,0.0,0.11280768331650055,0.08404199963201368,0.41484794833665795
17,0.823268596099728,0.0,0.1904361207030516,0.05205286571000988,0.39349016547203064,0.0,0.15678007773787964,0.042853489676047504,0.3239480961072083
18,0.8206711063763465,0.0,0.29981118529010514,0.055522530875409655,0.33846181631088257,0.0,0.24604637713603442,0.0455657368423373,0.27776583325799975
19,0.8253236177239313,0.0,0.39312137073199244,0.029464547895657115,0.3198048770427704,0.0,0.3244523518971188,0.024317787263843777,0.2639425180866963
20,0.8238072800498963,0.0,0.4864610196447746,0.013781302721134479,0.3044584095478058,0.0,0.40075012944386096,0.01135313751024203,0.2508150542578953
21,0.8195006581416121,0.0,0.5441589585689025,0.0,0.2907543480396271,0.0,0.4459386246808698,0.0,0.23827337957600972
22,0.8209668651199608,0.0,0.581203787998633,0.0,0.30415549874305725,0.0,0.477149051829084,0.0,0.2497015863120859
23,0.8168791330971699,0.0,0.5362046833905154,0.0,0.34628206491470337,0.0,0.43801441693068666,0.0,0.2828705929946208
24,0.8198881188024344,0.0,0.41440919861534975,0.0,0.41589584946632385,0.0,0.3397691782671635,0.0,0.3409880656366847
