comparison,mean_delta_return,median_delta_return,std_delta_return,alternative_better_episodes,full_better_episodes,equal_episodes,minimum_delta,maximum_delta
no_confidence_awareness_minus_full,4.395355417264303,4.356152794392074,0.347797358562895,30,0,0,3.8605605839802593,5.706159921657672
no_energy_sharing_minus_full,0.16318378200582326,0.15302082740436163,0.03788011589251752,30,0,0,0.07349042809619277,0.26788494769425597
no_upper_level_coordination_minus_full,-2362.4136673666244,-2033.7888477874794,825.8869873047422,0,30,0,-4843.275995625983,-1837.0655011045637
