mode,test_episode,steps,total_return,coordinator_return,sum_local_return,mean_local_return,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,power_balance_violation_steps,transformer_violation_steps,start_index
full_fc_hmarl,30,24,-11447.092798935306,-4836.956456344174,-6610.136342591134,-1322.0272685182267,-1225.553340155144,-1388.2661188319405,-1144.228419717432,-1301.28527099311,-1550.803192893507,0,0,1219
no_confidence_awareness,1,24,-18315.83047971261,-8267.945213797677,-10047.885265914938,-2009.5770531829876,-1842.059892780069,-2122.8978062784004,-1715.837345815102,-1965.4471928344783,-2401.643028206888,0,0,107
no_confidence_awareness,2,24,-19207.061618833082,-8713.543348023522,-10493.51827080956,-2098.703654161912,-1921.5396171744094,-2218.63590288106,-1787.8146052398736,-2051.395767978745,-2514.132377535473,0,0,110
no_confidence_awareness,3,24,-20368.48911210499,-9294.256968925813,-11074.232143179186,-2214.846428635837,-2027.5957556039891,-2341.297565648764,-1886.0642065858756,-2165.135662919143,-2654.138952421413,0,0,117
no_confidence_awareness,4,24,-18557.397722711925,-8388.23844924896,-10169.159273462965,-2033.831854692593,-1871.908378088975,-2142.827156933692,-1747.8127026722718,-1993.496207157582,-2413.1148286104444,0,0,160
no_confidence_awareness,5,24,-11600.584585201235,-4876.535868408982,-6724.048716792255,-1344.809743358451,-1248.970412567866,-1409.7728691447273,-1170.2783515911426,-1324.7046949330509,-1570.3223885554678,0,0,230
no_confidence_awareness,6,24,-13579.136543752664,-5899.715142972758,-7679.421400779906,-1535.8842801559813,-1418.1863711650242,-1615.653426820431,-1327.1035947322976,-1506.7418102851789,-1811.7361977769751,0,0,251
no_confidence_awareness,7,24,-14732.48249153666,-6476.615243215148,-8255.867248321512,-1651.1734496643026,-1523.757153830287,-1737.0969654861974,-1423.0758315964936,-1621.8916384357947,-1950.045658972741,0,0,467
no_confidence_awareness,8,24,-15372.355244711944,-6797.206647592853,-8575.14859711909,-1715.029719423818,-1579.83463665852,-1806.7392540987873,-1470.6850316165658,-1685.6610912838332,-2032.2285834613845,0,0,509
no_confidence_awareness,9,24,-13776.704739272636,-5999.20423018248,-7777.500509090157,-1555.5001018180315,-1433.656177507652,-1637.7341838601985,-1338.921545763285,-1527.3243098527994,-1839.8642921062217,0,0,538
no_confidence_awareness,10,24,-13787.43425897174,-6004.460523956291,-7782.973735015449,-1556.5947470030899,-1435.6196061039723,-1638.4855585671273,-1340.4214627366325,-1528.7571194947247,-1839.689988112992,0,0,545
no_confidence_awareness,11,24,-15551.491470798148,-6886.497007647568,-8664.994463150582,-1732.9988926301164,-1599.0922648243964,-1823.6066401851454,-1489.6551880553504,-1706.2453141001747,-2046.3950559855143,0,0,562
no_confidence_awareness,12,24,-16204.935703623054,-7213.181216840074,-8991.75448678298,-1798.350897356596,-1656.0059900150006,-1894.7992869489015,-1540.4387818670755,-1768.3675182907848,-2132.1429096612187,0,0,566
no_confidence_awareness,13,24,-17642.456844628774,-7928.110721106765,-9714.346123522013,-1942.8692247044025,-1778.2444071945292,-2050.7580053769525,-1654.8866763182234,-1906.0006522182068,-2324.4563824141014,0,0,629
no_confidence_awareness,14,24,-18315.98100346706,-8268.410549318649,-10047.570454148408,-2009.5140908296817,-1841.5376906241938,-2122.774174781391,-1709.2596533550773,-1970.851938292225,-2403.1469970955222,0,0,644
no_confidence_awareness,15,24,-16994.43959524365,-7607.841866148338,-9386.59772909531,-1877.3195458190621,-1724.7823382136412,-1980.3286338223122,-1605.558231772232,-1841.3828101039885,-2234.5457151831365,0,0,657
no_confidence_awareness,16,24,-16399.805711063083,-7310.320829707642,-9089.484881355442,-1817.8969762710883,-1671.7137548917924,-1916.5222390376548,-1556.1745378273577,-1784.0534122471029,-2161.0209373515354,0,0,691
no_confidence_awareness,17,24,-22677.258010679423,-10448.936893978325,-12228.3211167011,-2445.66422334022,-2234.1207233040436,-2588.116081716557,-2069.82670276318,-2394.883222627506,-2941.374386289814,0,0,812
no_confidence_awareness,18,24,-22855.280760487658,-10537.948836043704,-12317.33192444395,-2463.46638488879,-2250.3503720918593,-2606.852908355726,-2085.116593502526,-2412.478314783109,-2962.5337357107296,0,0,813
no_confidence_awareness,19,24,-14915.547294194675,-6568.06467304465,-8347.482621150022,-1669.4965242300045,-1535.7064640096553,-1760.3561287890009,-1431.5491132289342,-1636.8784039273678,-1982.9925111950647,0,0,868
no_confidence_awareness,20,24,-13677.485585206348,-5949.35803951985,-7728.127545686499,-1545.6255091372998,-1422.7222607236165,-1628.4751664509379,-1325.4902674218777,-1517.3323237717093,-1834.107527318357,0,0,898
no_confidence_awareness,21,24,-17217.130149078464,-7719.242053127354,-9497.888095951112,-1899.5776191902223,-1749.444018981121,-2000.6504789638464,-1631.3113882180623,-1867.3256847129996,-2249.156525075082,0,0,920
no_confidence_awareness,22,24,-17714.13425404084,-7967.260949593367,-9746.873304447468,-1949.3746608894937,-1789.125800051971,-2057.4222765480213,-1663.6539862555626,-1911.2331095020677,-2325.438132089847,0,0,952
no_confidence_awareness,23,24,-17320.205199414508,-7770.322778155867,-9549.882421258642,-1909.9764842517284,-1754.1800111470811,-2014.5520079316832,-1632.5065249133295,-1873.4750428306636,-2275.168834435885,0,0,959
no_confidence_awareness,24,24,-22916.105001551437,-10568.146270598987,-12347.95873095245,-2469.59174619049,-2274.083605492876,-2601.659618525577,-2118.599491623331,-2424.861325828605,-2928.7546894820616,0,0,985
no_confidence_awareness,25,24,-23656.544244629797,-10938.331190491022,-12718.213054138781,-2543.6426108277565,-2340.3360273201342,-2679.8550561426546,-2182.201651277881,-2498.114137757538,-3017.706181640572,0,0,987
no_confidence_awareness,26,24,-16675.805314700574,-7437.099244768995,-9238.70606993158,-1847.741213986316,-1707.6326629237294,-1938.8354190739262,-1600.7104216861405,-1822.478683020006,-2169.0488832277792,0,0,1041
no_confidence_awareness,27,24,-15180.572637218911,-6700.510238742404,-8480.062398476504,-1696.012479695301,-1571.5509498093368,-1779.9004669396425,-1471.0718213990547,-1670.2431442047523,-1987.2960161237197,0,0,1055
no_confidence_awareness,28,24,-15376.452138248695,-6798.611891751229,-8577.840246497468,-1715.5680492994936,-1590.2890946781702,-1800.9127493621584,-1486.1257638560846,-1690.6301302654765,-2009.8825083355773,0,0,1068
no_confidence_awareness,29,24,-12353.945212833853,-5288.39257481132,-7065.552638022535,-1413.1105276045068,-1314.7110796963898,-1480.83047667183,-1229.5940499144629,-1393.728762099253,-1646.6882696405994,0,0,1169
no_confidence_awareness,30,24,-11442.781561101065,-4832.659968928903,-6610.12159217216,-1322.024318434432,-1225.5589457767132,-1388.2716396546693,-1144.276323129557,-1301.2307237535736,-1550.783959857646,0,0,1219
no_energy_sharing,1,24,-18320.12866504733,-8272.308573114813,-10047.820091932519,-2009.564018386504,-1842.0436082213917,-2121.3651314025583,-1717.5833763196993,-1966.0916583415797,-2400.7363176472904,0,0,107
no_energy_sharing,2,24,-19211.399794720164,-8717.914914809407,-10493.484879910755,-2098.696975982151,-1921.336212944401,-2217.2295638512483,-1789.496260757572,-2052.254096646231,-2513.168745711303,0,0,110
no_energy_sharing,3,24,-20372.58003305648,-9298.473351184293,-11074.106681872188,-2214.8213363744376,-2027.094961477186,-2339.89442504662,-1887.8321368933855,-2166.6174778381014,-2652.6676806168934,0,0,117
no_energy_sharing,4,24,-18561.682656081168,-8392.544874738678,-10169.13778134249,-2033.827556268498,-1871.859695260292,-2142.162909804507,-1748.578533953425,-1994.0894915499432,-2412.4471507743233,0,0,160
no_energy_sharing,5,24,-11605.01802822526,-4880.917978034449,-6724.100050190811,-1344.8200100381623,-1248.6405456497114,-1408.7205426704597,-1171.6172185553326,-1324.9964641036831,-1570.1252792116245,0,0,230
no_energy_sharing,6,24,-13583.442253078625,-5904.065189953072,-7679.377063125554,-1535.8754126251108,-1417.8447751946985,-1614.6444982741273,-1328.2299532283637,-1507.2252869384138,-1811.4325494899508,0,0,251
no_energy_sharing,7,24,-14736.78311099926,-6480.95411789072,-8255.828993108538,-1651.1657986217076,-1523.4710161615158,-1736.4200824026432,-1424.4261399693328,-1622.1193592965205,-1949.392395278526,0,0,467
no_energy_sharing,8,24,-15377.489664994137,-6801.878004020111,-8575.611660974027,-1715.1223321948055,-1579.7924828300654,-1805.726093416093,-1471.635384659968,-1685.8555829915572,-2032.6021170763424,0,0,509
no_energy_sharing,9,24,-13780.561978346472,-6003.278198186548,-7777.283780159925,-1555.4567560319852,-1433.373885700375,-1636.5661799516565,-1340.097535874962,-1527.6933923360618,-1839.552786296869,0,0,538
no_energy_sharing,10,24,-13791.634236786675,-6008.711920119414,-7782.922316667261,-1556.5844633334523,-1435.4165722123996,-1637.389952418904,-1341.7162892324309,-1529.0228733744518,-1839.3766294290751,0,0,545
no_energy_sharing,11,24,-15555.43574683257,-6890.603142349063,-8664.83260448351,-1732.9665208967021,-1598.4830082761337,-1822.475392380329,-1490.6979896807868,-1706.7681809636658,-2046.4080331825937,0,0,562
no_energy_sharing,12,24,-16209.114783977986,-7217.394797022327,-8991.71998695566,-1798.3439973911322,-1655.3357969937251,-1893.7886766888303,-1541.2481831950936,-1769.0500674058037,-2132.2972626722067,0,0,566
no_energy_sharing,13,24,-17646.693670813784,-7932.413986332114,-9714.279684481671,-1942.8559368963342,-1777.546331994631,-2050.2949479819126,-1655.6773537564832,-1906.865965099076,-2323.895085649569,0,0,629
no_energy_sharing,14,24,-18320.26982457193,-8272.758365124117,-10047.511459447811,-2009.5022918895622,-1840.9900246817272,-2121.872614668613,-1710.182696071713,-1971.706402987297,-2402.7597210384606,0,0,644
no_energy_sharing,15,24,-16998.515229870012,-7612.06488200466,-9386.450347865353,-1877.2900695730707,-1724.430936818774,-1979.037344611563,-1607.435679616205,-1841.9457944026012,-2233.60059241621,0,0,657
no_energy_sharing,16,24,-16404.098119178503,-7314.673881878159,-9089.424237300347,-1817.8848474600695,-1671.1442689780408,-1915.7416829508436,-1557.5231715107202,-1784.6656915705125,-2160.349422290229,0,0,691
no_energy_sharing,17,24,-22681.45642126361,-10453.212968546095,-12228.243452717517,-2445.6486905435036,-2233.47090949405,-2587.0913338383875,-2070.7784993964783,-2396.181307355737,-2940.7214026328656,0,0,812
no_energy_sharing,18,24,-22859.43121214209,-10542.190626452806,-12317.240585689284,-2463.4481171378566,-2249.7072129123344,-2605.845241141321,-2085.9924589330885,-2413.725381969815,-2961.9702907327246,0,0,813
no_energy_sharing,19,24,-14920.033866900838,-6572.509967003962,-8347.523899896878,-1669.5047799793756,-1535.740198636034,-1759.0900727359674,-1432.448120200255,-1637.155954563381,-1983.0895537612398,0,0,868
no_energy_sharing,20,24,-13681.609683054085,-5953.6239304027795,-7727.9857526513015,-1545.5971505302603,-1421.9192307633614,-1627.841230541165,-1326.4484047943904,-1518.1518809159995,-1833.625005636385,0,0,898
no_energy_sharing,21,24,-17221.10588737056,-7723.396925688439,-9497.708961682121,-1899.5417923364244,-1749.4831941597124,-1999.5230951393096,-1631.9746800909268,-1867.2484843967918,-2249.4795078953807,0,0,920
no_energy_sharing,22,24,-17718.419770115765,-7971.570336735937,-9746.849433379826,-1949.3698866759653,-1788.5512206304488,-2056.784713239835,-1664.6574972672759,-1911.8067026231452,-2325.0492996191197,0,0,952
no_energy_sharing,23,24,-17324.395599209598,-7774.608625071271,-9549.78697413833,-1909.957394827666,-1753.4909933596111,-2013.9317266684584,-1633.7079330058812,-1874.3340475109942,-2274.322273593385,0,0,959
no_energy_sharing,24,24,-22921.65189905654,-10573.08733405466,-12348.56456500188,-2469.712913000376,-2274.673722595701,-2600.6688973669957,-2120.101583927486,-2425.1985105856406,-2927.9218505260565,0,0,985
no_energy_sharing,25,24,-23660.26278843297,-10942.375330563871,-12717.8874578691,-2543.5774915738198,-2340.0573691922664,-2678.847774005408,-2183.2523782484086,-2498.479611830797,-3017.25032459222,0,0,987
no_energy_sharing,26,24,-16679.527806591115,-7441.205509175774,-9238.322297415343,-1847.6644594830686,-1706.9420004916972,-1938.030835704899,-1602.077977355793,-1822.5347498060532,-2168.736734056899,0,0,1041
no_energy_sharing,27,24,-15184.669991379567,-6704.724850078843,-8479.945141300725,-1695.989028260145,-1570.9795915563911,-1778.9796587395251,-1472.639604307155,-1670.4148249895925,-1986.9314617080606,0,0,1055
no_energy_sharing,28,24,-15380.660621160785,-6802.8704743894305,-8577.790146771356,-1715.5580293542712,-1589.6843962023113,-1799.570760560536,-1487.8883308209981,-1691.0881066487827,-2009.5585525387291,0,0,1068
no_energy_sharing,29,24,-12357.849884955125,-5292.399782729764,-7065.45010222536,-1413.090020445072,-1313.5563002497704,-1479.443299529006,-1232.2572261048065,-1394.8120026340937,-1645.3812737076835,0,0,1169
no_energy_sharing,30,24,-11446.876409864255,-4836.829019549551,-6610.047390314703,-1322.0094780629406,-1224.408875045252,-1387.1889181959775,-1146.561403418341,-1301.8703321568194,-1550.0178614983136,0,0,1219
no_upper_level_coordination,1,24,-23115.14159431815,-10189.52770703431,-12925.613887283838,-2585.122777456768,-1799.975926988596,-5400.021480757158,-985.1563410886597,-1510.1475888362388,-3230.3125496131847,0,0,107
no_upper_level_coordination,2,24,-24054.88618634892,-10646.572914419923,-13408.313271928999,-2681.6626543857997,-1673.481074772854,-5476.8015206361915,-1059.0264664607146,-1702.0926542474524,-3496.911555811786,0,0,110
no_upper_level_coordination,3,24,-25056.661708185715,-11193.238193728004,-13863.423514457712,-2772.6847028915427,-1633.2402871939037,-5478.761483787774,-1099.5612026392091,-1864.4317560294435,-3787.4287848073814,0,0,117
no_upper_level_coordination,4,24,-21008.914207328362,-10327.267713232843,-10681.646494095516,-2136.3292988191033,-1907.0270376898468,-2785.8147291263062,-1177.26044970866,-1531.1166793279158,-3280.427598242788,0,0,160
no_upper_level_coordination,5,24,-14102.857638499494,-6817.4756056722545,-7285.382032827237,-1457.0764065654473,-1430.5373708993989,-1867.637487266611,-904.795766184622,-1312.3593581891616,-1770.052050287443,0,0,230
no_upper_level_coordination,6,24,-16220.300596942332,-7873.8511742479095,-8346.449422694417,-1669.2898845388834,-1414.3133394965987,-2251.947749432231,-1035.8779763502503,-1360.029561011226,-2284.2807964041117,0,0,251
no_upper_level_coordination,7,24,-16706.018999547246,-8290.43107997832,-8415.587919568927,-1683.1175839137854,-1551.2587450903657,-2165.4786233070204,-911.5052049597311,-1455.6022703619524,-2331.7430758498576,0,0,467
no_upper_level_coordination,8,24,-17385.786249533787,-8620.780462774297,-8765.005786759484,-1753.0011573518968,-1413.6972503348713,-2068.201742321418,-984.4343373480625,-1779.4624157320297,-2519.210041023104,0,0,509
no_upper_level_coordination,9,24,-15794.074712007345,-7824.725403869557,-7969.349308137787,-1593.8698616275574,-1479.9579859523822,-1981.8840997880154,-995.4739165721459,-1447.095400749389,-2064.937905075854,0,0,538
no_upper_level_coordination,10,24,-15757.307529406904,-7817.43042500072,-7939.877104406181,-1587.9754208812362,-1447.187205090439,-2057.1255600092327,-893.715275074839,-1254.4674299511098,-2287.381634280561,0,0,545
no_upper_level_coordination,11,24,-17450.96523571668,-8685.472372045273,-8765.49286367141,-1753.098572734282,-1654.7166450116501,-2139.4885240897456,-975.6632596252745,-1466.0965182096486,-2529.52791673509,0,0,562
no_upper_level_coordination,12,24,-18164.945727875893,-9030.484530658465,-9134.461197217432,-1826.8922394434862,-1688.3444267257933,-2210.6022229035225,-1004.4757577613633,-1414.5580565218736,-2816.480733304879,0,0,566
no_upper_level_coordination,13,24,-19772.803742924272,-9785.87016672606,-9986.933576198215,-1997.3867152396429,-1633.3390357823714,-2339.973596734947,-1199.411297439544,-1502.8194236677598,-3311.3902225735924,0,0,629
no_upper_level_coordination,14,24,-20157.486193966397,-10056.812251122525,-10100.673942843872,-2020.1347885687744,-1896.3945732032232,-2499.2799726887583,-1203.102825592689,-1423.7848125660503,-3078.1117587931526,0,0,644
no_upper_level_coordination,15,24,-18901.123659900724,-9410.279458586718,-9490.844201314012,-1898.1688402628024,-1757.4511221433957,-2364.549150115319,-1061.3604837552928,-1509.4950358992116,-2797.9884094007925,0,0,657
no_upper_level_coordination,16,24,-18405.110703717422,-9139.307409533107,-9265.803294184316,-1853.1606588368631,-1662.614109110314,-2299.9487350692766,-1051.2219872973908,-1445.3588113077672,-2806.6596513995655,0,0,691
no_upper_level_coordination,17,24,-24595.810116775487,-12259.62215446099,-12336.187962314494,-2467.2375924628986,-2068.0964808407393,-3035.112413776293,-1357.751836017936,-1959.762861041785,-3915.4643706377406,0,0,812
no_upper_level_coordination,18,24,-24759.354201136055,-12351.087708423096,-12408.266492712959,-2481.653298542592,-2182.3700227465233,-2936.7762729246233,-1296.3315580574965,-2049.246490833568,-3943.5421481507474,0,0,813
no_upper_level_coordination,19,24,-17106.240441186696,-8443.036383359176,-8663.204057827523,-1732.6408115655045,-1609.035216950587,-2143.4195939375704,-1069.8981551729007,-1466.554448973494,-2374.2966427929705,0,0,868
no_upper_level_coordination,20,24,-15619.516719346768,-7757.48913955751,-7862.027579789257,-1572.4055159578515,-1170.8681019336595,-1882.8960537979208,-923.7495848645796,-1368.476607084577,-2516.0372321085206,0,0,898
no_upper_level_coordination,21,24,-19275.464517881897,-9559.589941512597,-9715.874576369302,-1943.1749152738605,-1737.3986644881027,-2407.9076771082555,-1106.168839819683,-1890.4778321056704,-2573.9215628475913,0,0,920
no_upper_level_coordination,22,24,-19698.14702178137,-9788.83421183885,-9909.312809942516,-1981.862561988503,-1522.5562142119265,-2374.8760380812837,-1036.5698109736784,-1924.3856240648101,-3050.925122610817,0,0,952
no_upper_level_coordination,23,24,-19324.560774215646,-9599.803870181759,-9724.75690403389,-1944.951380806778,-1777.364920117036,-2278.5596616319435,-1008.3107268612538,-1447.5063714125445,-3213.015224011112,0,0,959
no_upper_level_coordination,24,24,-25063.610797101646,-12434.51560351989,-12629.095193581756,-2525.8190387163513,-1903.890957192849,-3065.836132373696,-1480.6530408163096,-2335.2528408784146,-3843.4622223204856,0,0,985
no_upper_level_coordination,25,24,-25767.68875804523,-12800.158435518159,-12967.53032252707,-2593.506064505414,-2084.280849290604,-3147.279044123648,-1385.4795345454613,-2360.4505344242916,-3990.0403601430667,0,0,987
no_upper_level_coordination,26,24,-18946.262753148614,-9323.27684345863,-9622.985909689982,-1924.5971819379963,-1927.994822184049,-2326.785824252111,-1086.1963002493746,-1828.4109223325274,-2453.59804067192,0,0,1041
no_upper_level_coordination,27,24,-17469.01708049714,-8595.13663427879,-8873.880446218349,-1774.7760892436697,-1542.6125047134726,-2101.7874166137904,-963.8482018288142,-1890.4042362951918,-2375.2280867670793,0,0,1055
no_upper_level_coordination,28,24,-17620.004062301996,-8683.174313977173,-8936.829748324823,-1787.3659496649645,-1589.5837499157126,-2174.19345120833,-1059.9569212458377,-1748.813063827343,-2364.282562127599,0,0,1068
no_upper_level_coordination,29,24,-14649.02979519729,-7180.712079594981,-7468.317715602308,-1493.6635431204618,-1357.6171971648482,-1724.5535246988009,-777.1180713247411,-1359.270840544034,-2249.758081869884,0,0,1169
no_upper_level_coordination,30,24,-13441.013447700701,-6652.551469949537,-6788.461977751163,-1357.6923955502327,-1186.6875381953346,-1684.9933396173215,-719.7852863670471,-1079.9369238055694,-2117.058889765891,0,0,1219
