mode,episodes,mean_return,std_return,median_return,minimum_return,maximum_return,mean_coordinator_return,mean_local_return_per_mg,power_balance_violation_steps,transformer_violation_steps,delta_mean_return_vs_full
full_fc_hmarl,30,-16817.25650505125,3236.851713056684,-16541.95254165803,-23660.448169298557,-11447.092798935306,-7519.605071386594,-1859.530286732931,0,0,0.0
no_confidence_awareness,30,-16812.861149633987,3236.795174505464,-16537.80551288183,-23656.544244629797,-11442.781561101065,-7515.232314354983,-1859.5257670558,0,0,4.395355417262181
no_energy_sharing,30,-16817.09332126924,3236.846674169919,-16541.81296288481,-23660.26278843297,-11446.876409864255,-7519.5187285735055,-1859.5149185391479,0,0,0.1631837820095825
no_upper_level_coordination,30,-19179.67017241787,3487.230527488307,-18653.117181809073,-25767.68875804523,-13441.013447700701,-9371.283855275378,-1961.6772634284982,0,0,-2362.4136673666217
