agent,episode,step,reward,action_0,action_1,action_2,done,action_3,action_4
local_1,87,9,-85.70076751708984,0.6203043460845947,-1.0,-1.0,False,-0.7517406940460205,-1.0
local_1,87,10,-80.81542205810547,1.0,-0.9885105490684509,-0.9535941481590271,False,-0.5294851064682007,-0.9534915685653687
local_1,87,11,-98.75362396240234,1.0,-1.0,-1.0,False,-0.9973098635673523,-0.5508987903594971
local_1,87,12,-96.9429702758789,1.0,-0.9137083888053894,-1.0,False,0.9235361814498901,-1.0
local_1,87,13,-97.15379333496094,0.683483362197876,-1.0,-0.6091890335083008,False,-0.47803324460983276,-1.0
local_1,87,14,-93.42506408691406,0.8581429719924927,-1.0,-0.9802905321121216,False,0.552035391330719,-0.839928925037384
local_1,87,15,-140.4071502685547,1.0,-1.0,-0.8828623294830322,False,-1.0,-0.8910650014877319
local_1,87,16,-156.3347625732422,0.8987618088722229,-0.9050816297531128,-0.9239364862442017,False,0.2706618010997772,-0.8201813101768494
local_1,87,17,-166.75743103027344,0.6870075464248657,-1.0,-1.0,False,0.6037985682487488,-1.0
local_1,87,18,-162.4378662109375,0.7179266214370728,-0.7268336415290833,-0.9102052450180054,False,1.0,-0.9027334451675415
local_1,87,19,-185.6902618408203,0.8911371231079102,-0.9655086398124695,-0.835084855556488,False,1.0,-0.9994763135910034
local_1,87,20,-158.87109375,0.6710132956504822,-1.0,-1.0,False,0.5390124917030334,-0.6409679055213928
local_1,87,21,-166.54640197753906,1.0,-1.0,-1.0,False,1.0,-1.0
local_1,87,22,-115.45237731933594,0.7835006713867188,-1.0,-0.9699159264564514,False,1.0,-0.762717604637146
local_1,87,23,-119.71562194824219,1.0,-0.9954053163528442,-0.7960477471351624,False,0.6968774795532227,-1.0
local_1,87,24,-119.03040313720703,0.8572437763214111,-1.0,-1.0,True,0.7670964002609253,-1.0
local_2,87,1,-132.55682373046875,0.8273650407791138,1.0,-0.8603726029396057,False,1.0,-0.9664015769958496
local_2,87,2,-105.36224365234375,0.8300352096557617,0.08593019843101501,-1.0,False,0.16188789904117584,-0.756981372833252
local_2,87,3,-116.70812225341797,1.0,-1.0,-1.0,False,0.9950539469718933,-0.9293694496154785
local_2,87,4,-117.24740600585938,0.8753429055213928,0.6405976414680481,-1.0,False,0.12813036143779755,-1.0
local_2,87,5,-115.45025634765625,1.0,0.48784974217414856,-0.9057737588882446,False,-0.018512586131691933,-1.0
local_2,87,6,-131.43807983398438,0.8737595677375793,0.4891263544559479,-1.0,False,0.8302252888679504,-0.6700611710548401
local_2,87,7,-135.5020294189453,0.8331531882286072,-0.059501443058252335,-1.0,False,0.3138938844203949,-0.8347682356834412
local_2,87,8,-132.68173217773438,0.6036133170127869,0.09733792394399643,-1.0,False,0.7033206224441528,-0.5274749398231506
local_2,87,9,-96.4994125366211,0.9727145433425903,-0.9360759258270264,-0.9587641358375549,False,-0.2100166231393814,-1.0
local_2,87,10,-91.2353515625,0.7591515779495239,-0.5754370093345642,-1.0,False,-0.7206997275352478,-0.9411470890045166
local_2,87,11,-114.26029968261719,0.8983042240142822,-0.6682050228118896,-0.6579418778419495,False,-0.7923642992973328,-1.0
local_2,87,12,-102.29044342041016,0.78509122133255,-1.0,-1.0,False,-1.0,-0.7602046132087708
local_2,87,13,-113.38471984863281,0.719138503074646,-1.0,-1.0,False,-0.9517949223518372,-0.7403184771537781
local_2,87,14,-99.8944091796875,0.8615112900733948,-1.0,-0.8855279684066772,False,-1.0,-0.8878118991851807
local_2,87,15,-163.44737243652344,1.0,-0.8064255714416504,-0.6060457825660706,False,-1.0,-1.0
local_2,87,16,-180.2725067138672,1.0,-0.9712352752685547,-1.0,False,-0.806914746761322,-0.9387211203575134
local_2,87,17,-193.3651580810547,0.735806405544281,-0.7465599775314331,-1.0,False,-0.8754786252975464,-0.8348745703697205
local_2,87,18,-160.19757080078125,1.0,-0.5641371011734009,-1.0,False,-0.7800350189208984,-0.9477750062942505
local_2,87,19,-148.51373291015625,1.0,-0.7774457335472107,-1.0,False,-0.5646610260009766,-1.0
local_2,87,20,-183.17971801757812,0.8098430633544922,-0.45275500416755676,-1.0,False,-0.16714419424533844,-1.0
local_2,87,21,-165.28590393066406,1.0,-0.13676030933856964,-0.8500532507896423,False,-1.0,-1.0
local_2,87,22,-130.09744262695312,1.0,-0.2684381902217865,-0.7780783176422119,False,0.02127986028790474,-0.7125589847564697
local_2,87,23,-122.52549743652344,0.7936011552810669,-0.6434964537620544,-1.0,False,-0.6535347104072571,-1.0
local_2,87,24,-137.1016082763672,0.6252419948577881,-0.8463646173477173,-0.7729357481002808,True,0.9498031139373779,-1.0
local_3,87,1,-450958.5625,-1.0,-0.9483597874641418,1.0,False,1.0,0.7806129455566406
local_3,87,2,-74.12041473388672,0.9430448412895203,-1.0,-0.9203296303749084,False,-0.9922170042991638,-0.9327056407928467
local_3,87,3,-75.11182403564453,0.7511826753616333,-0.970584511756897,-0.5470224618911743,False,-1.0,-0.8885230422019958
local_3,87,4,-77.05216979980469,1.0,-1.0,-1.0,False,-0.9399737119674683,-1.0
local_3,87,5,-94.95726776123047,0.7952960729598999,-0.843521237373352,-0.7219578623771667,False,-0.915756106376648,-0.7503004670143127
local_3,87,6,-98.77743530273438,0.7177562713623047,-1.0,-0.9229093790054321,False,-1.0,-0.9283254146575928
local_3,87,7,-110.215087890625,1.0,-1.0,-0.8146548867225647,False,-0.7762056589126587,-1.0
local_3,87,8,-107.71913146972656,0.9112047553062439,-1.0,-1.0,False,-1.0,-0.7528276443481445
local_3,87,9,-80.43783569335938,0.854164719581604,-1.0,-0.9783328771591187,False,-1.0,-0.9029127955436707
local_3,87,10,-75.9659194946289,0.9824509024620056,-1.0,-0.795765221118927,False,-0.8909229636192322,-0.8712014555931091
local_3,87,11,-91.92597961425781,1.0,-0.6559155583381653,-0.9783914685249329,False,-0.8155481219291687,-0.5213993787765503
local_3,87,12,-82.86992645263672,0.878366231918335,-1.0,-0.6711286306381226,False,-1.0,-1.0
local_3,87,13,-90.65088653564453,0.7695913314819336,-1.0,-1.0,False,-0.9691949486732483,-0.9465363025665283
local_3,87,14,-82.33039093017578,1.0,-0.8412180542945862,-1.0,False,-1.0,-0.8426260352134705
local_3,87,15,-130.19705200195312,1.0,-0.9887565970420837,-0.8594928979873657,False,-0.8848183751106262,-1.0
local_3,87,16,-144.0915069580078,1.0,-0.9736522436141968,-1.0,False,-0.8157012462615967,-0.6696904897689819
local_3,87,17,-154.3944854736328,1.0,-0.9813753962516785,-1.0,False,-1.0,-1.0
local_3,87,18,-127.54937744140625,1.0,-0.7677035927772522,-0.6872760653495789,False,-1.0,-0.8168790340423584
local_3,87,19,-119.14447784423828,0.871059238910675,-0.8809436559677124,-0.8952683806419373,False,-1.0,-0.7608708143234253
local_3,87,20,-147.38668823242188,1.0,-1.0,-0.7139387726783752,False,-1.0,-1.0
local_3,87,21,-134.1577606201172,0.874405026435852,-0.7681075930595398,-0.898121178150177,False,-1.0,-1.0
local_3,87,22,-105.56232452392578,0.9908279776573181,-1.0,-0.9265556931495667,False,-1.0,-0.7953762412071228
local_3,87,23,-98.9759750366211,1.0,-1.0,-0.5333492159843445,False,-1.0,-1.0
local_3,87,24,-107.56450653076172,0.6523898839950562,-1.0,-1.0,True,-1.0,-1.0
local_4,87,1,-5.684139251708984,0.9473565220832825,-0.6411134004592896,0.31542572379112244,False,-0.8633642196655273,-1.0
local_4,87,2,-103.02342224121094,0.9700275659561157,-0.7707862257957458,-1.0,False,-1.0,-0.956253170967102
local_4,87,3,-109.85426330566406,1.0,-1.0,-1.0,False,-0.604701817035675,-0.8289405703544617
local_4,87,4,-107.40596008300781,0.9043146371841431,-1.0,-0.9305179119110107,False,-0.784807562828064,-0.7044689655303955
local_4,87,5,-108.5885009765625,0.801226019859314,-1.0,-0.9343289732933044,False,-1.0,-1.0
local_4,87,6,-105.96320343017578,1.0,-0.8613355159759521,-0.9891194105148315,False,-0.5506737232208252,-0.9572998881340027
local_4,87,7,-124.74427795410156,1.0,-1.0,-0.8791192173957825,False,-0.9283199310302734,-1.0
local_4,87,8,-121.51177978515625,0.9583662152290344,-1.0,-0.7186058759689331,False,-0.9812290072441101,-0.7730470299720764
local_4,87,9,-90.96369171142578,1.0,-0.9106441736221313,-1.0,False,-0.6437758207321167,-1.0
local_4,87,10,-85.66492462158203,0.7531183958053589,-0.9997026920318604,-1.0,False,-1.0,-1.0
local_4,87,11,-105.58126068115234,1.0,-0.933185338973999,-0.7835142016410828,False,-0.9970425367355347,-0.8236903548240662
local_4,87,12,-85.9005355834961,1.0,-0.7643822431564331,-1.0,False,-0.6153029203414917,-0.9918279051780701
local_4,87,13,-103.65670013427734,0.8092645406723022,-1.0,-0.7083737850189209,False,-1.0,-1.0
local_4,87,14,-86.23400115966797,0.7490357160568237,-1.0,-1.0,False,-0.8149592280387878,-1.0
local_4,87,15,-150.61724853515625,0.8529089093208313,-0.8905913829803467,-0.7473471164703369,False,-0.940322995185852,-1.0
local_4,87,16,-165.94143676757812,0.7573598027229309,-0.9514946937561035,-1.0,False,-1.0,-0.6698542833328247
local_4,87,17,-179.12037658691406,0.9983699321746826,-0.872087299823761,-0.8227167129516602,False,-0.7843283414840698,-1.0
local_4,87,18,-124.10221862792969,1.0,-0.9587448239326477,-1.0,False,-1.0,-0.9928463697433472
local_4,87,19,-81.88963317871094,0.71677565574646,-1.0,-0.5266138315200806,False,-0.9182931184768677,-0.91335129737854
local_4,87,20,-170.3555145263672,1.0,-0.9067053198814392,-1.0,False,-1.0,-0.9610733985900879
local_4,87,21,-132.5852813720703,0.9196504354476929,-1.0,-0.9737968444824219,False,-0.8474951386451721,-1.0
local_4,87,22,-119.56863403320312,1.0,-0.9754259586334229,-0.7981960773468018,False,-1.0,-0.965745747089386
local_4,87,23,-101.30393981933594,0.8603900671005249,-1.0,-0.8956251740455627,False,-0.9106157422065735,-1.0
local_4,87,24,-117.02623748779297,0.9643791913986206,-0.6509913802146912,-0.7979384660720825,True,-1.0,-0.5587165951728821
local_5,87,1,-87.3599853515625,0.8065088391304016,-1.0,-1.0,False,-1.0,-0.8668648600578308
local_5,87,2,-110.92501068115234,1.0,-0.620800256729126,-1.0,False,-1.0,-0.9532038569450378
local_5,87,3,-135.1354217529297,0.9830888509750366,-0.7893017530441284,-0.8078137040138245,False,-1.0,0.8240421414375305
local_5,87,4,-128.22470092773438,1.0,-0.9501482844352722,-0.8708099722862244,False,-0.7572530508041382,-0.9656585454940796
local_5,87,5,-129.12762451171875,1.0,-0.8462252616882324,-1.0,False,-0.864960789680481,-0.8936730027198792
local_5,87,6,-134.3246307373047,1.0,-1.0,-1.0,False,-0.9843811988830566,-0.9502977132797241
local_5,87,7,-150.09689331054688,1.0,-1.0,-0.6305800080299377,False,-1.0,-0.6321165561676025
local_5,87,8,-146.25106811523438,0.6765576004981995,-0.9330617785453796,-1.0,False,-0.6908136606216431,-0.8755438923835754
local_5,87,9,-107.29806518554688,1.0,-0.6929274797439575,-1.0,False,-0.5941861867904663,-0.3547820746898651
local_5,87,10,-101.65528106689453,0.832209587097168,-0.6887983679771423,-1.0,False,-0.7950472831726074,-1.0
local_5,87,11,-129.7669677734375,0.604033887386322,-0.7182027697563171,-1.0,False,-0.6205422282218933,-1.0
local_5,87,12,-116.06592559814453,1.0,-0.6896140575408936,-0.8413242697715759,False,-1.0,-0.92861407995224
local_5,87,13,-129.6156463623047,1.0,-1.0,-1.0,False,-0.7720524668693542,-1.0
local_5,87,14,-112.49991607666016,0.9366282224655151,-0.8738710284233093,-0.7575402855873108,False,-0.9295592904090881,-0.8901693224906921
local_5,87,15,-186.48760986328125,1.0,-1.0,-1.0,False,-1.0,-0.8667023181915283
local_5,87,16,-205.0950164794922,1.0,-1.0,-0.9828973412513733,False,-1.0,-1.0
local_5,87,17,-219.97286987304688,1.0,-0.9691938757896423,-1.0,False,-0.9435762763023376,-0.7860118746757507
local_5,87,18,-182.52914428710938,1.0,-1.0,-1.0,False,-0.8078143000602722,-1.0
local_5,87,19,-168.5004425048828,1.0,-1.0,-1.0,False,-1.0,-0.9102227091789246
local_5,87,20,-207.48834228515625,1.0,-1.0,-0.9296385645866394,False,-0.8915295600891113,-0.918150782585144
local_5,87,21,-186.29042053222656,1.0,-0.706109881401062,-0.7570521831512451,False,-0.9429962635040283,-1.0
local_5,87,22,-146.5846710205078,1.0,-0.6677632331848145,-0.8519508242607117,False,-1.0,-0.8258693814277649
local_5,87,23,-138.47340393066406,1.0,-0.7505325078964233,-0.9786470532417297,False,-0.88078373670578,-0.8242384195327759
local_5,87,24,-150.4304656982422,1.0,-0.7436541318893433,-1.0,True,-1.0,-1.0
