episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
84,24,2016,-11714.701970086551,-5642.16230919059,-1214.5079321791925,-6072.539660895963,-1406.3237966854138,-1047.7051107300458,120,24,False,-1163.11396213104,-1315.0229111319752,-1047.7051107300458,-1140.3738802174876,-1406.3237966854138,-15571.672363060516,-7669.860297132448,-1580.3624131856125,7525,1505
85,24,2040,-15877.641202671315,-7899.622427565549,-1595.6037550211531,-7978.0187751057665,-1910.5461437418048,-1384.535634555402,120,24,False,-1534.231253629806,-1748.9789460604595,-1399.7267971182944,-1384.535634555402,-1910.5461437418048,-15938.345417499191,-7860.4284775186115,-1615.5833879961156,7645,1529
86,24,2064,-14749.135662865589,-7311.021850434148,-1487.622762486288,-7438.11381243144,-1715.8888690229137,-1350.7139078719754,120,24,False,-1359.7984507414922,-1638.4795247240052,-1350.7139078719754,-1373.2330600710527,-1715.8888690229137,-16131.423245027076,-7956.264306371132,-1635.0317877311882,7765,1553
87,24,2088,-480473.8664906047,-14848.83656119241,-93125.00598588244,-465625.0299294123,-453369.7054273577,-2687.2872000925117,120,24,False,-2869.33992868855,-3188.4978533192398,-453369.7054273577,-2687.2872000925117,-3510.1995199542434,-39665.90901207809,-8481.23785099592,-6236.934232216434,7885,1577
88,24,2112,-17456.455429237205,-8652.911270720904,-1760.70883170326,-8803.544158516299,-2059.5601421492183,-1429.7986730061873,120,24,False,-1721.4704330890577,-1987.188772907388,-1605.5261373644469,-1429.7986730061873,-2059.5601421492183,-39840.96197532228,-8566.458191951337,-6254.900756674188,8005,1601
89,24,2136,-31112.524448755583,-15477.468194559484,-3127.0112508392203,-15635.0562541961,-3740.190499227077,-2624.9745401413206,120,24,False,-2966.07031754619,-3640.880887928153,-2662.9400093533623,-2624.9745401413206,-3740.190499227077,-40421.939950532425,-8854.027649638016,-6313.582460178882,8125,1625
90,24,2160,-14848.98143337026,-7337.309222255018,-1502.3344422230482,-7511.672211115241,-1943.1273398667768,-1041.1977552280823,120,24,False,-1490.394507814666,-1943.1273398667768,-1294.6318572398775,-1041.1977552280823,-1742.3207509658382,-40418.568470687154,-8849.25953302095,-6313.86178753324,8245,1649
