episode,steps,cumulative_steps,total_return,coordinator_return,mean_local_return,sum_local_return,minimum_local_return,maximum_local_return,local_update_count,coordinator_update_count,terminated_early,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,moving_average_return,moving_average_coordinator_return,moving_average_local_return,cumulative_local_updates,cumulative_coordinator_updates
101,24,24,-7242.499379025381,-2587.0312618780417,-931.0936234294679,-4655.468117147339,-1242.8563571087209,-446.2862069094069,120,24,False,-1093.721468045957,-1242.8563571087209,-810.9674902623339,-446.2862069094069,-1061.6365948209207,-7242.499379025381,-2587.0312618780417,-931.0936234294679,120,24
102,24,48,-15569.721252399699,-6502.888233808559,-1813.366603718228,-9066.83301859114,-2376.203730836326,-995.3547005521484,120,24,False,-2376.203730836326,-2183.716541355024,-1499.7603346061394,-995.3547005521484,-2011.7977112415012,-11406.11031571254,-4544.959747843301,-1372.230113573848,240,48
103,24,72,-16407.468283716127,-7465.750812498981,-1788.3434942434294,-8941.717471217147,-2165.34296053517,-1126.0531609349111,120,24,False,-2012.8144610122154,-2165.34296053517,-1546.8217632393882,-1126.0531609349111,-2090.685125495464,-13073.2296383804,-5518.556769395193,-1510.9345737970418,360,72
104,24,96,-11403.24612990905,-5019.009815719973,-1276.8472628378156,-6384.236314189078,-1656.9893113039388,-535.6879421974061,120,24,False,-1656.9893113039388,-1617.983302683726,-1083.7275606693229,-535.6879421974061,-1489.848197334684,-12655.733761262563,-5393.670030976388,-1452.4127460572354,480,96
105,24,120,-8304.930804011936,-3266.2084526243916,-1007.744470277509,-5038.722351387545,-1273.7501783816936,-501.8310040357654,120,24,False,-1273.7501783816936,-1194.1736968404925,-864.4407040621309,-501.8310040357654,-1204.5267680674629,-11785.573169812438,-4968.177715305989,-1363.4790909012902,600,120
106,24,144,-8955.113057527424,-3743.7937547981787,-1042.2638605458492,-5211.3193027292455,-1343.5251576091196,-451.8273892581185,120,24,False,-1343.5251576091196,-1324.106557349242,-892.5888774666251,-451.8273892581185,-1199.2713210461409,-11313.829817764936,-4764.11372188802,-1309.9432191753833,720,144
107,24,168,-26040.747819351025,-12348.725340883118,-2738.404495693582,-13692.022478467909,-3857.4921894125505,-1587.9227194572684,120,24,False,-3857.4921894125505,-2899.5309721354133,-2238.9873255108105,-1587.9227194572684,-3108.0892719518656,-13417.67524656295,-5847.629667458749,-1514.0091158208402,840,168
108,24,192,-16172.090419000713,-7698.541514321619,-1694.7097809358188,-8473.548904679094,-2367.4765075126616,-732.457712148707,120,24,False,-2367.4765075126616,-1918.170027722996,-1440.6763802829198,-732.457712148707,-2014.7682770118097,-13761.977143117669,-6078.9936483166075,-1536.5966989602125,960,192
109,24,216,-19917.718498916314,-9678.011954143707,-2047.941308954522,-10239.706544772609,-2614.694523419722,-1264.0080376444366,120,24,False,-2614.694523419722,-2183.722073025213,-1765.4527047625807,-1264.0080376444366,-2411.8292059206565,-14445.948404873074,-6478.884571186285,-1593.412766737358,1080,216
110,24,240,-13271.586767442699,-6298.69042417078,-1394.579268654384,-6972.896343271919,-1702.7767632174211,-878.7370832950279,120,24,False,-1702.7767632174211,-1550.5036229912648,-1176.6629369560492,-878.7370832950279,-1664.215936812156,-14328.512241130036,-6460.865156484735,-1573.5294169290605,1200,240
111,24,264,-29619.6965180126,-10214.811670285435,-3880.976969545433,-19404.884847727164,-11257.670999637743,-1468.1579958519992,120,24,False,-11257.670999637743,-2296.2657707315625,-1851.7111716586016,-1468.1579958519992,-2531.0789098472546,-15718.619902664817,-6802.133021375708,-1783.297376257822,1320,264
112,24,288,-15651.507091994434,-7459.982505963575,-1638.3049172061717,-8191.524586030859,-2132.127907761419,-974.3419423963736,120,24,False,-2132.127907761419,-1775.6894161446012,-1383.783796920463,-974.3419423963736,-1925.5815228080023,-15713.027168442284,-6856.9538117580305,-1771.214671336851,1440,288
113,24,312,-16872.637355735,-7927.114717987568,-1789.104527549487,-8945.522637747436,-2404.45981884219,-951.1640623531458,120,24,False,-2404.45981884219,-1879.068397442871,-1515.9176611398138,-951.1640623531458,-2194.912697969416,-15802.227952080186,-6939.273881467995,-1772.5908141224386,1560,312
114,24,336,-11557.434081656016,-5195.892420966262,-1272.3083321379509,-6361.541660689754,-1832.7281247472824,-520.7302919041321,120,24,False,-1832.7281247472824,-1394.8205482846997,-1088.012219051705,-520.7302919041321,-1525.250476701934,-15499.028389907031,-6814.7466342893,-1736.8563511235463,1680,336
115,24,360,-12351.308324478108,-5703.779656812272,-1329.5057335331674,-6647.528667665837,-1833.7318352083246,-687.1071948816394,120,24,False,-1833.7318352083246,-1392.033295709883,-1127.0995210435312,-687.1071948816394,-1607.5568208224588,-15289.180385545102,-6740.682169124165,-1709.6996432841877,1800,360
116,24,384,-13945.711752443563,-6411.635230539913,-1506.8153043807301,-7534.07652190365,-2078.6104095119335,-775.3843471343944,120,24,False,-2078.6104095119335,-1648.514803178136,-1298.173972061818,-775.3843471343944,-1733.3929900173682,-15205.213595976256,-6720.116735462649,-1697.0193721027217,1920,384
117,24,408,-14795.670602374918,-7029.766020302034,-1553.1809164145766,-7765.904582072883,-1935.614567643322,-1002.5499530527369,120,24,False,-1935.614567643322,-1683.501326834567,-1329.3866816001234,-1002.5499530527369,-1814.8520529421337,-15181.122831646766,-6738.33139927673,-1688.5582864740074,2040,408
118,24,432,-20766.8955951409,-10000.204268156247,-2153.338265396931,-10766.691326984655,-2511.8521282291667,-1661.6004096598076,120,24,False,-2426.980738136339,-2302.7840207870104,-1863.4740301723318,-1661.6004096598076,-2511.8521282291667,-15491.443540729773,-6919.546558658925,-1714.3793964141698,2160,432
119,24,456,-14666.34213458433,-6984.123555835304,-1536.4437157498055,-7682.218578749027,-2221.5829065359226,-659.6938687950205,120,24,False,-2221.5829065359226,-1652.6627850214907,-1302.816709267965,-659.6938687950205,-1845.4623091286285,-15448.017150932645,-6922.9453479839985,-1705.0143605897297,2280,456
120,24,480,-15710.528535925325,-7474.984168694049,-1647.108873446255,-8235.544367231276,-2342.3888430295647,-778.4125389496219,120,24,False,-2342.3888430295647,-1763.130388802312,-1406.3557622859962,-778.4125389496219,-1945.2568341637811,-15461.142720182277,-6950.5472890195,-1702.119086232556,2400,480
121,24,504,-11215.747579686782,-5110.298691811216,-1221.0897775751132,-6105.4488878755665,-1443.5071393255475,-878.4434849734192,120,24,False,-1412.843438517861,-1315.3935273331101,-1055.2612977256292,-878.4434849734192,-1443.5071393255475,-15659.80513021535,-7076.710660516159,-1716.618893939838,2520,504
122,24,528,-17244.804769467257,-8195.020030120655,-1809.9569478693206,-9049.784739346604,-2247.413720941445,-1168.7401575885776,120,24,False,-2247.413720941445,-1951.4545161460715,-1568.811204986629,-1168.7401575885776,-2113.3651396838823,-15743.559306068728,-7161.317250331764,-1716.4484111473926,2640,528
123,24,552,-12324.973111635807,-5835.278887740771,-1297.9388447790072,-6489.694223895036,-1626.8969788188842,-851.3836876836538,120,24,False,-1626.8969788188842,-1360.1258548509677,-1130.7705482944318,-851.3836876836538,-1520.5171542470976,-15539.434547464716,-7079.793654093854,-1691.9281786741715,2760,552
124,24,576,-13896.739956985217,-6518.943381095333,-1475.559315177977,-7377.7965758898845,-2006.320281534008,-776.2073485348935,120,24,False,-2006.320281534008,-1580.068804421794,-1268.0460767284108,-776.2073485348935,-1747.1540646707783,-15664.109238818524,-7154.790332362621,-1701.8637812911795,2880,576
125,24,600,-27345.871252637306,-13488.340727564977,-2771.5061050144654,-13857.530525072327,-3818.484118482218,-1400.7765879459791,120,24,False,-3818.484118482218,-2976.751019975678,-2363.1535932360703,-1400.7765879459791,-3298.3652054323825,-16616.156261249787,-7665.896946109649,-1790.0518630280271,3000,600
126,24,624,-13631.25355675827,-6469.373839601358,-1432.3759434313827,-7161.879717156913,-1765.7747992281033,-890.4073218015745,120,24,False,-1765.7747992281033,-1562.3908652624996,-1238.71605585065,-890.4073218015745,-1704.5906750140855,-16849.96328621133,-7802.175950349808,-1809.5574671723039,3120,624
127,24,648,-14161.708802485571,-6710.09687773977,-1490.32238494916,-7451.611924745801,-1740.9042078452771,-1243.3490000066015,120,24,False,-1577.4623689169407,-1592.72143401111,-1297.1749139658712,-1243.3490000066015,-1740.9042078452771,-16256.011335368055,-7520.244527192641,-1747.153361635083,3240,648
128,24,672,-15557.118850497896,-7176.146091633459,-1676.1945517728877,-8380.972758864438,-2036.5061997631822,-1151.566138713683,120,24,False,-2036.5061997631822,-1759.2075405912087,-1453.0468163608627,-1151.566138713683,-1980.6460634355,-16225.262756942913,-7494.124756058234,-1746.2276001769364,3360,672
129,24,696,-8515.00053385416,-3513.401726625088,-1000.3197614458143,-5001.598807229071,-1338.5454773019294,-595.9502708998236,120,24,False,-1338.5454773019294,-1056.3325428025262,-856.6713340430648,-595.9502708998236,-1154.0991821817272,-15655.126858689808,-7185.894244682301,-1693.8465228015007,3480,696
130,24,720,-7656.0163906415,-3142.166857232349,-902.7699066818302,-4513.849533409151,-1258.5432530747537,-483.71386386488786,120,24,False,-1258.5432530747537,-952.5823732071509,-781.9904835550341,-483.71386386488786,-1037.0195597073246,-15374.348339849748,-7028.06806633538,-1669.2560547028734,3600,720
131,24,744,-11927.629537098914,-5348.8781140463525,-1315.7502846105122,-6578.75142305256,-1543.9427927890763,-941.203719086451,120,24,False,-1528.907670098859,-1419.4352584591707,-1145.2619826190034,-941.203719086451,-1543.9427927890763,-14489.744990804063,-6784.771388523428,-1540.9947204561272,3720,744
132,24,768,-16936.254042121618,-7858.0257208831645,-1815.6456642476903,-9078.228321238452,-2128.192654403507,-1297.9841020027782,120,24,False,-2101.1460565381467,-2013.353692679607,-1537.5518156144137,-1297.9841020027782,-2128.192654403507,-14553.982338310423,-6804.673549269408,-1549.8617578082035,3840,768
133,24,792,-21500.96997595758,-10124.788512507044,-2275.236292690107,-11376.181463450535,-2677.9638848904447,-1639.380334937452,120,24,False,-2677.9638848904447,-2393.3891960675764,-1988.4892870695599,-1639.380334937452,-2676.9587604855033,-14785.398969321555,-6914.5572389953795,-1574.1683460652343,3960,792
134,24,816,-14341.851869632217,-6744.132792177829,-1519.5438154908777,-7597.719077454389,-1825.6680166145377,-1004.1331727926844,120,24,False,-1825.6680166145377,-1658.0910322930654,-1307.0872612261041,-1004.1331727926844,-1802.7395945279973,-14924.619858720363,-6991.96925755596,-1586.5301202328806,4080,816
135,24,840,-20068.004243297546,-9573.254113665726,-2098.950025926364,-10494.75012963182,-2494.630785228807,-1470.5964377509604,120,24,False,-2494.630785228807,-2244.009448418339,-1797.402859344608,-1470.5964377509604,-2488.110598889107,-15310.454654661333,-7185.442980398632,-1625.0023348525403,4200,840
136,24,864,-14117.903918020107,-6498.189989550197,-1523.942785693982,-7619.71392846991,-1873.3818467560966,-988.8867746872605,120,24,False,-1873.3818467560966,-1645.4208636552933,-1314.5230816733208,-988.8867746872605,-1797.5013616979388,-15319.064262940165,-7189.770718349146,-1625.8587089182026,4320,864
137,24,888,-7580.298217996382,-2988.4956405276885,-918.3605154937386,-4591.802577468693,-1076.2813296536606,-701.7257555685072,120,24,False,-1028.8181325871378,-981.6259094837504,-803.3514501756365,-701.7257555685072,-1076.2813296536606,-14958.295643721236,-6987.707199360429,-1594.117688872161,4440,888
138,24,912,-13281.971389680923,-6083.378882679653,-1439.7185014002541,-7198.592507001271,-1755.275407429565,-953.4123384988005,120,24,False,-1721.24286315063,-1536.1471123183744,-1232.5147856039007,-953.4123384988005,-1755.275407429565,-14584.04943344824,-6791.8659300866,-1558.4367006723273,4560,912
