train_loss,validation_loss,learning_rate
0.1067527939380971,0.06341807837118298,0.0001
0.06167707131619687,0.04289855266106766,0.0001
0.04185759925961174,0.030226146741708888,0.0001
0.03254803782148687,0.026732763389484722,0.0001
0.027888542951342233,0.024798347038309947,0.0001
0.02513544958732562,0.02190226487278661,0.0001
0.02323767499666817,0.020538024044517027,0.0001
0.021801392221878203,0.019378674389703573,0.0001
0.020755663668704523,0.019085549823016412,0.0001
0.019711577249955817,0.018281734898386307,0.0001
0.019032862378534212,0.017279603086429268,0.0001
0.01847948516444553,0.017126532816879977,0.0001
0.01787418966175149,0.016316898749300115,0.0001
0.01751645635346324,0.01626559911767565,0.0001
0.017017761442889932,0.01606443352379788,0.0001
0.016581189034400395,0.01589097489193832,0.0001
0.016267930096972524,0.01567011713219834,0.0001
0.015917226789430465,0.014843916772243637,0.0001
0.015628892906571986,0.015270760217948444,0.0001
0.015350457353141498,0.014741055002273006,0.0001
0.015080461846976504,0.01488282824026047,0.0001
0.014919458068919802,0.014280247259639799,0.0001
0.014639015883731532,0.013978141233019133,0.0001
0.014344324134892185,0.013820678990847907,0.0001
0.014276606873514284,0.014553907382901467,0.0001
0.013995135187641216,0.013345203788029095,0.0001
0.013775538447933946,0.013796436327699309,0.0001
0.013505051432635484,0.013509525380751636,0.0001
0.013350962698359298,0.013410834227648934,0.0001
0.01322808021441556,0.013058113536597638,0.0001
0.013092046237834885,0.01265614040882711,0.0001
0.012923545826134296,0.012751054691798599,0.0001
0.012830048677240472,0.012040592794249586,0.0001
0.012578668961659803,0.01237357738784909,0.0001
0.012417904051775393,0.012667878503867191,0.0001
0.012299893393503097,0.012304214442525373,0.0001
0.012111981360637125,0.012515397555188303,0.0001
0.012004439521031014,0.011973297565390582,0.0001
0.011969375451833908,0.012377212001883665,0.0001
0.011723908244123806,0.012309449894741859,0.0001
0.011665673161944773,0.01210308466525063,0.0001
0.011532601071911976,0.01250994297813575,0.0001
0.01142662272915091,0.011780442056440157,0.0001
0.011332804994603396,0.011758464175376732,0.0001
0.011193580440286484,0.012155979765704627,0.0001
0.011075095449911487,0.01152448874330516,0.0001
0.010985696113761968,0.011957724296973367,0.0001
0.010864227162409142,0.011812445455491196,0.0001
0.010822737219990644,0.012679023167520969,0.0001
0.010710954140358211,0.011786688583752243,0.0001
0.010698485428345433,0.011631864919107173,0.0001
0.010539079610615131,0.011820359474032148,0.0001
0.0103087828762201,0.011888236629089166,5e-05
0.010268831027534057,0.011516414210488869,5e-05
0.01024156069124995,0.01165315237128566,5e-05
0.010210816543238911,0.011350957985525904,5e-05
0.0101357096404231,0.01160805179549224,5e-05
0.010110313159646741,0.011917497362511551,5e-05
0.010054715383911379,0.011894485760641758,5e-05
0.010045777951291798,0.01191063300474878,5e-05
0.009994927546527676,0.011509777571195139,5e-05
0.009922517186096273,0.012211326022410951,5e-05
0.009824281870193893,0.012018488201375483,2.5e-05
0.009824327948166001,0.011685295684059677,2.5e-05
0.009804516325130535,0.011873318690021749,2.5e-05
0.009776661917285082,0.012301751215510087,2.5e-05
0.009752558480476042,0.011769986187708784,2.5e-05
0.009707783303397399,0.01180274287378668,2.5e-05
0.009695444353416429,0.011765817625738108,1.25e-05
0.0096788712880817,0.01227556092132209,1.25e-05
0.00965762099677857,0.01216606366196337,1.25e-05
