mode,test_episode,start_index,total_return,coordinator_return,mean_local_return_per_mg,load_kwh,pv_kwh,ev_kwh,grid_import_kwh,grid_export_kwh,grid_purchase_cost_usd,grid_sale_revenue_usd,reserve_revenue_usd,market_profit_usd,net_market_cost_usd,bess_throughput_kwh,bess_degradation_cost_usd,sharing_scheduled_kwh,sharing_received_kwh,sharing_loss_kwh,peak_grid_import_kw,peak_grid_export_kw,mean_absolute_grid_exchange_kw,power_balance_violation_steps,transformer_violation_steps
passive_grid_only,16,691,-18775.840560719844,-9389.824818276105,-1877.2031484887473,48117.8693814694,7215.585996542812,10950.690264842577,51852.97364976915,0.0,9386.015742443738,0.0,0.0,-9386.015742443738,9386.015742443738,0.0,0.0,0.0,0.0,0.0,3127.396577034201,0.0,2160.5405687403813,0,0
passive_grid_only,17,812,-25065.9219984667,-12534.865537149533,-2506.211292263433,48246.36154888523,2713.633992929369,15328.796421561025,60861.523977516896,0.0,12531.056461317166,0.0,0.0,-12531.056461317166,12531.056461317166,0.0,0.0,0.0,0.0,0.0,3303.4384406553972,0.0,2535.896832396537,0,0
passive_grid_only,18,813,-25253.06791042382,-12628.438493128093,-2524.9258834591446,48301.041754303405,2713.633992929369,15434.164230515458,61021.57199188949,0.0,12624.629417295726,0.0,0.0,-12624.629417295726,12624.629417295726,0.0,0.0,0.0,0.0,0.0,3303.4384406553972,0.0,2542.565499662062,0,0
passive_grid_only,19,868,-17453.794060206743,-8728.801568019555,-1744.9984984374375,46437.90950218981,9488.93387750721,11789.57205046099,48738.54767514359,0.0,8724.992492187188,0.0,0.0,-8724.992492187188,8724.992492187188,0.0,0.0,0.0,0.0,0.0,3419.901988451212,0.0,2030.7728197976496,0,0
passive_grid_only,20,898,-16128.736416826221,-8066.272746329293,-1612.4927340993854,44700.437441520866,6226.513953514457,9441.629441858406,47915.55292986482,0.0,8062.463670496926,0.0,0.0,-8062.463670496926,8062.463670496926,0.0,0.0,0.0,0.0,0.0,3118.692202552053,0.0,1996.4813720777008,0,0
passive_grid_only,21,920,-19620.272200424,-9812.040638128183,-1961.6463124591635,50684.37578943014,5902.413923171222,8727.816798565887,53509.778664824815,0.0,9808.231562295816,0.0,0.0,-9808.231562295816,9808.231562295816,0.0,0.0,0.0,0.0,0.0,3445.6570489954074,0.0,2229.5741110343674,0,0
passive_grid_only,22,952,-20153.792474053367,-10078.800774942867,-2014.9983398221,49989.30536187412,7137.144050800563,13127.636116778696,55979.79742785226,0.0,10074.9916991105,0.0,0.0,-10074.9916991105,10074.9916991105,0.0,0.0,0.0,0.0,0.0,3327.384262037426,0.0,2332.4915594938443,0,0
passive_grid_only,23,959,-19761.892965635736,-9882.851020734051,-1975.808388980337,49141.63926408102,7137.144050800563,12166.852403600791,54171.34761688125,0.0,9879.041944901684,0.0,0.0,-9879.041944901684,9879.041944901684,0.0,0.0,0.0,0.0,0.0,3255.3451842096397,0.0,2257.139484036719,0,0
passive_grid_only,24,985,-25601.749012046752,-12802.77904393956,-2559.7939936214384,53976.004008005526,9329.179941637516,12038.863943023636,56685.68800939165,0.0,12798.969968107192,0.0,0.0,-12798.969968107192,12798.969968107192,0.0,0.0,0.0,0.0,0.0,3987.666455825753,0.0,2361.903667057985,0,0
passive_grid_only,25,987,-26211.017470717175,-13107.413273274771,-2620.720839488481,54058.9050679668,9526.9579686625,12200.856866388433,56732.80396569273,0.0,13103.604197442404,0.0,0.0,-13103.604197442404,13103.604197442404,0.0,0.0,0.0,0.0,0.0,3987.666455825753,0.0,2363.866831903864,0,0
passive_grid_only,26,1041,-19152.16093279618,-9577.985004314274,-1914.8351856963818,51224.707122989465,9330.747904809237,6126.6881868520195,48020.64740503223,0.0,9574.175928481907,0.0,0.0,-9574.175928481907,9574.175928481907,0.0,0.0,0.0,0.0,0.0,3644.150568641865,0.0,2000.8603085430102,0,0
passive_grid_only,27,1055,-17711.868924412433,-8857.839000122398,-1770.8059848580062,49929.009352280475,9350.459881939889,6184.883911752005,46763.4333820926,0.0,8854.029924290031,0.0,0.0,-8854.029924290031,8854.029924290031,0.0,0.0,0.0,0.0,0.0,3891.259391059261,0.0,1948.4763909205249,0,0
passive_grid_only,28,1068,-17949.812693648895,-8976.810884740631,-1794.6003617816532,52057.5486668758,6453.453937371732,4459.888047511584,50063.98277701568,0.0,8973.001808908264,0.0,0.0,-8973.001808908264,8973.001808908264,0.0,0.0,0.0,0.0,0.0,3891.259391059261,0.0,2085.9992823756525,0,0
passive_grid_only,29,1169,-14674.323419456668,-7339.066247644518,-1467.0514343624307,50529.69776089393,7007.8120247786055,2276.7348900346487,45798.620626149976,0.0,7335.257171812151,0.0,0.0,-7335.257171812151,7335.257171812151,0.0,0.0,0.0,0.0,0.0,3197.51145898033,0.0,1908.2758594229153,0,0
passive_grid_only,30,1219,-13791.067751057837,-6897.438413445102,-1378.7258675225467,46044.58126044416,7658.602148930312,5314.426817063229,43700.4059285771,0.0,6893.629337612735,0.0,0.0,-6893.629337612735,6893.629337612735,0.0,0.0,0.0,0.0,0.0,2956.7402749295366,0.0,1820.8502470240455,0,0
