forecast_hour,mean_pv_error_normalized,mean_load_error_normalized,mean_ev_error_normalized,mean_price_error_normalized,epsilon_RL,omega_RL,epsilon_EM,Phi_causal
1,0.029399689866949845,0.0677013508076207,0.07635733485935155,0.06303011825976217,0.07380931286395612,0.9288487964719708,0.09901130437815041,0.8412885139636873
2,0.029408210399398317,0.07495595034663856,0.08353161783857561,0.06286825706834576,0.08051855271465716,0.9226377859893927,0.10454639604281657,0.8310503064144611
3,0.029119287064193665,0.07681610626102695,0.08790145014838055,0.06270214280158304,0.08215014948393155,0.9211336405716471,0.10797325432762662,0.8268570903306457
4,0.029140201045920182,0.08115368778339137,0.08543003308346997,0.06257488319143872,0.08622686563850511,0.9173860842305892,0.10589573437615404,0.8252056920597498
5,0.02916421340727972,0.07930389045468736,0.0865917022508543,0.06249666716946732,0.08449649924650375,0.9189748724756983,0.10678930801345132,0.8258965071982469
6,0.02918745120835803,0.08144354499810887,0.08726514326871448,0.06237272916781542,0.0865156536697219,0.9171211923601004,0.10726398544502679,0.8238394262529437
7,0.029210689009436335,0.07845084639249414,0.08739405608803824,0.06218042468477551,0.08371260151318148,0.919695537222039,0.10725728997834233,0.8261574621456843
8,0.029238574379964175,0.08179060877856575,0.08196280197849636,0.06201095891485927,0.08685964492295081,0.9168057649470236,0.10277772099879706,0.827259071887225
9,0.029262586787493074,0.08897919704337251,0.08214228796778626,0.061838154107516904,0.09366747830479304,0.9105855013388544,0.10281688954645406,0.8216141747898655
10,0.02927962785239002,0.08489288302942723,0.08311478138602914,0.061737420295648666,0.08980032403183447,0.9141136935861397,0.10353538501212514,0.8242052345384003
11,0.029290472169563254,0.08463362174372546,0.08567217414634924,0.06174520902064399,0.08955881692706731,0.9143344851980041,0.10560394055131374,0.8227007464598012
12,0.029290472169563254,0.07859810586719265,0.08843329438280816,0.06174213507614516,0.08387844780291528,0.9195430217769158,0.10785424794210641,0.8255275060166539
13,0.029290472169563254,0.08549410804287125,0.08693062030131045,0.061779008236137314,0.09037241985230948,0.9135908825258707,0.106646981225965,0.8211747014834505
14,0.029290472169563254,0.08298732365823579,0.08875664208128768,0.061801546848415864,0.08800470241909088,0.9157565704420212,0.10815346830500974,0.8218822266898078
15,0.029290472169563254,0.08576064617436359,0.08949066975505378,0.061821333131962836,0.09062461140418945,0.9133605116734356,0.1087679052083896,0.8192282695104312
16,0.029290472169563254,0.07961606831939823,0.08649273429065055,0.06187105759124161,0.08483307193869055,0.9186656226742557,0.10634388018373137,0.8259864151695097
17,0.029290472169563254,0.08528031688895922,0.08395562539848883,0.06189087019132423,0.09017019578883737,0.9137756512681995,0.10430257354970073,0.823268596099728
18,0.029290472169563254,0.085719006750021,0.08734730874437982,0.06188413020335917,0.09058520783288024,0.9133965020485583,0.10704764320578161,0.8206711063763465
19,0.029290472169563254,0.08005927648249896,0.08698190878536181,0.06185108432178346,0.08524916134964126,0.9182834551499002,0.10673054430539258,0.8253236177239313
20,0.029288148387724075,0.0815945900523136,0.08750025382983524,0.0618050485866694,0.08669182638395882,0.9169596348617874,0.10712683347829413,0.8238072800498963
21,0.029275754892276663,0.0885454738614224,0.08588247181635834,0.061789335260249954,0.09325969529146286,0.9109568983580365,0.10580038240569432,0.8195006581416121
22,0.029100696800823455,0.08540960722565648,0.08742302945651227,0.061766344973114826,0.09023110085072868,0.9137199994003616,0.10704142866522307,0.8209668651199608
23,0.029072811430295616,0.08712136559796807,0.09154541245537914,0.06174135670689166,0.091844219786094,0.9122472485482105,0.11041991518577218,0.8168791330971699
24,0.02904260230967003,0.08764772389080328,0.08650760714251793,0.06169427409306411,0.09233415539309459,0.9118004156073805,0.1062532331244294,0.8198881188024344
